date,close,ret_1d,ret_5d,ret_20d,rsi_14,macd_hist,natr_14,bb_position,mvrv_zscore,nupl,nvt,puell,sopr,ntv_ratio,funding_rate,cot_net_frac,dvol,month_sin,month_cos,weekday,y_logret_fwd1
2022-06-11,28424.7,-0.023200611947273582,-0.09869235235813267,-0.0636892070214611,39.05817407708612,87.85454319835208,5.414716540697544,-0.9412379679982309,0.3385,0.1742,120.08,0.532,0.9918,-0.027748291023236775,2.9156666666666668e-05,-0.6961687358163129,75.05,1.2246467991473532e-16,-1.0,5,-0.06730524721449922
2022-06-12,26574.53,-0.06730524721449922,-0.15806871886160906,-0.09109931946674904,33.025566190227224,-99.27599980478624,5.911535842528143,-1.2903605709321928,0.2347,0.1182,113.46,0.464,0.9935,-0.017456100581011307,3.6673333333333333e-05,-0.6961687358163129,93.99,1.2246467991473532e-16,-1.0,6,-0.16699764123151092
2022-06-13,22487.41,-0.16699764123151092,-0.29504426188318916,-0.27666098527217053,24.151424630014116,-464.8431252443977,8.065651992170006,-1.509250159225631,-0.0604,-0.0336,92.34,0.504,0.9797,-0.0028821854299427947,6.180000000000001e-06,-0.6961687358163129,106.0,1.2246467991473532e-16,-1.0,0,-0.01573183286725236
2022-06-14,22136.41,-0.01573183286725236,-0.3076312535039738,-0.2885942929443407,23.56578244110723,-683.5972892245793,8.42042299944548,-1.154523946306064,-0.0658,-0.0411,89.94,0.581,0.9889,0.020379283716364674,-3.711666666666666e-05,-0.687992125984252,103.09,1.2246467991473532e-16,-1.0,1,0.020005528538409763
2022-06-15,22583.72,0.020005528538409763,-0.2532298047221263,-0.25698564836589927,26.027543056832915,-746.3601427498029,8.514386110750237,-0.8680184599215252,-0.0277,-0.015,91.07,0.378,0.9933,0.015163162574877789,-3.3276666666666666e-05,-0.687992125984252,89.15,1.2246467991473532e-16,-1.0,2,-0.10163017824163617
2022-06-16,20401.31,-0.10163017824163617,-0.3316593710164888,-0.33884901893156,22.2604647988045,-874.1820135993762,9.719605732117694,-0.9507812171648744,-0.1737,-0.1197,81.9,0.347,0.9946,-0.005599986821267808,-1.6386666666666667e-05,-0.687992125984252,119.65,1.2246467991473532e-16,-1.0,3,0.0033031496542327322
2022-06-17,20468.81,0.0033031496542327322,-0.26105097414775685,-0.349473327532614,22.63343736085336,-890.5045447818379,9.38599461132478,-0.7799465918091832,-0.1567,-0.1122,81.43,0.465,0.9924,0.0068934542910769215,-2.2053333333333335e-05,-0.687992125984252,108.67,1.2246467991473532e-16,-1.0,4,-0.0760018363469714
2022-06-18,18970.79,-0.0760018363469714,-0.17005516926321748,-0.44040789454444723,20.305135148630796,-933.9639849775564,10.59737411599246,-0.7976096076916089,-0.2513,-0.1941,74.42,0.428,0.9913,-0.010340877388961115,5.7193333333333333e-05,-0.687992125984252,115.03,1.2246467991473532e-16,-1.0,5,0.08112771492687064
2022-06-19,20574.0,0.08112771492687064,-0.07319562146909446,-0.43336745120649484,28.752407798476128,-792.112151940607,10.064996270525462,-0.5321363659648034,-0.1488,-0.1007,80.8,0.426,0.9983,0.041529666988597246,2.3076666666666665e-05,-0.687992125984252,109.97,1.2246467991473532e-16,-1.0,6,-5.346568195921985e-06
2022-06-20,20573.89,-5.346568195921985e-06,-0.0932064965757001,-0.43547619751322725,28.75218261114851,-642.0616633342543,9.85056104921363,-0.46475844386631615,-0.142,-0.0993,81.24,0.487,0.9955,0.019451789103058045,2.1376666666666665e-05,-0.687992125984252,99.27,1.2246467991473532e-16,-1.0,0,0.007246490991842595
2022-06-21,20723.52,0.007246490991842595,0.01567017265777864,-0.36343472482822997,29.56034313634864,-483.7188654242609,9.554694628003334,-0.38904553700094024,-0.1311,-0.0897,81.62,0.405,0.9927,0.018995595911092247,5.665e-05,-0.6499571550985432,97.96,1.2246467991473532e-16,-1.0,1,-0.03613769395083157
2022-06-22,19987.99,-0.03613769395083157,-0.023770670947285754,-0.4210404399657316,27.88587552486415,-383.8655499712541,9.602333229051029,-0.42360600948736116,-0.1755,-0.1274,78.89,0.504,0.9858,-0.001655886696135207,-1.4813333333333334e-05,-0.6499571550985432,99.76,1.2246467991473532e-16,-1.0,2,0.05462142687846785
2022-06-23,21110.13,0.05462142687846785,0.10685259227815347,-0.34140109643060607,34.02592572142627,-206.47971800797905,8.896881081892964,-0.21351055344019954,-0.0993,-0.0664,84.06,0.432,0.9961,0.03981621031659479,-1.7016666666666666e-05,-0.6499571550985432,91.46,1.2246467991473532e-16,-1.0,3,0.0060244133369918825
2022-06-24,21237.69,0.0060244133369918825,0.03174929068827478,-0.34087764761957684,34.7064971378378,-52.79802821410294,8.488127579630213,-0.12733077598962717,-0.0838,-0.0591,84.42,0.509,0.9947,0.010001763449729624,8.668666666666667e-05,-0.6499571550985432,90.66,1.2246467991473532e-16,-1.0,4,0.011865650317023644
2022-06-25,21491.19,0.011865650317023644,0.04362028757349442,-0.3308576653002393,36.11687247873977,86.12765033503274,8.02413483590345,0.03222427546427831,-0.0725,-0.0469,85.63,0.457,1.0027,0.021561305735772526,7.540333333333334e-05,-0.6499571550985432,86.66,1.2246467991473532e-16,-1.0,5,-0.02130943009010775
2022-06-26,21038.07,-0.02130943009010775,0.015064366491544124,-0.3996171842252988,34.675081895390086,163.2306933302798,7.924931471077562,0.028226296726529654,-0.0999,-0.069,85.26,0.443,0.9971,-0.006989746436879606,6.889666666666667e-05,-0.6499571550985432,90.26,1.2246467991473532e-16,-1.0,6,-0.014146025460121855
2022-06-27,20742.56,-0.014146025460121855,0.03705603498225376,-0.405834328974398,33.72940164463038,207.2289033693096,7.818340026628912,-0.06905236184896768,-0.1197,-0.0835,84.54,0.465,0.9916,-0.005499129391765305,5.8183333333333336e-05,-0.6499571550985432,89.09,1.2246467991473532e-16,-1.0,0,-0.022488841996465433
2022-06-28,20281.29,-0.022488841996465433,-0.04005423389267945,-0.3983010727609325,32.2508525973643,217.12045404144237,7.780746379459568,-0.2849108818664734,-0.1519,-0.107,83.01,0.476,0.9954,-0.007909412583945915,-1.921333333333333e-05,-0.5233181186743402,87.5,1.2246467991473532e-16,-1.0,1,-0.007834849739538354
2022-06-29,20123.01,-0.007834849739538354,-0.05391349696920968,-0.4029910812540033,31.73675551386973,223.9573324733492,7.486757904783431,-0.35613988903741245,-0.1629,-0.1147,83.0,0.519,0.9948,-0.0025453190237133094,5.947333333333333e-05,-0.5233181186743402,91.37,1.2246467991473532e-16,-1.0,2,-0.009025345538186133
2022-06-30,19942.21,-0.009025345538186133,-0.07480449282441945,-0.3776205065487516,31.12639031055026,226.5735832073251,7.571296383800881,-0.4640608286180433,-0.2092,-0.1182,80.34,0.407,0.9833,-0.00285893271309831,-6.904666666666666e-05,-0.5233181186743402,94.14,1.2246467991473532e-16,-1.0,3,-0.03378067520510561
2022-07-01,19279.8,-0.03378067520510561,-0.08727573793941742,-0.38820056980658363,28.9310372121581,195.15564598228,7.992021152983102,-0.8257729867876511,-0.2061,-0.1576,79.99,0.417,0.993,0.0003737505331866128,-4.5803333333333336e-05,-0.5233181186743402,92.97,-0.4999999999999998,-0.8660254037844388,4,-0.001400891578015631
2022-07-02,19252.81,-0.001400891578015631,-0.07453060405731123,-0.32229621417010007,28.841776915915695,184.1589400312232,7.6134986548853565,-0.9110106100092596,-0.2129,-0.1585,79.68,0.47,0.9967,0.009650312872594638,1.475e-05,-0.5233181186743402,92.23,-0.4999999999999998,-0.8660254037844388,5,0.003267942871976135
2022-07-03,19315.83,0.003267942871976135,-0.04877381918886968,-0.1520306300666131,29.389578547331,191.8628241592328,7.367085366513681,-0.7282398879430454,-0.2088,-0.1533,80.57,0.455,0.9954,0.017828748539924107,5.2e-05,-0.5233181186743402,92.07,-0.4999999999999998,-0.8660254037844388,6,0.04657331482099153
2022-07-04,20236.71,0.04657331482099153,0.005634345371660066,-0.08972548237836926,37.019399542408465,265.1933524186161,6.98796462664653,-0.07206089585556597,-0.1431,-0.1011,84.99,0.375,0.9994,0.040790894462589766,4.8899999999999996e-05,-0.5233181186743402,86.99,-0.4999999999999998,-0.8660254037844388,0,-0.0030129284649952903
2022-07-05,20175.83,-0.0030129284649952903,0.01164676244485089,-0.11274393938177439,36.736779528491304,312.55522343296843,7.020190485759279,-0.08807847683787795,-0.1447,-0.1037,85.43,0.412,0.9975,0.015048407999913749,5.137e-05,-0.5470624110591583,86.08,-0.4999999999999998,-0.8660254037844388,1,0.019081421173606727
