,ret_1d,ret_5d,ret_20d,rsi_14,macd_hist,natr_14,bb_position,mvrv_zscore,nupl,nvt,puell,sopr,ntv_ratio,funding_rate,cot_net_frac,dvol,month_sin,month_cos,weekday
ret_1d,1.0,0.45749842787911593,0.22422771241163095,0.3485188959286681,0.1644527429552536,-0.12400114606667978,0.5087726475719007,0.0666706194934981,0.07878983932696802,0.15750513622411336,0.08055456085967794,0.1907626358246901,0.6987053191917647,-0.0006476763020544072,0.017624400864588198,-0.06442903219913822,0.021270467469942215,0.06104464041213909,-0.024984747836900287
ret_5d,0.45749842787911593,1.0,0.5058990675781455,0.6751932015964145,0.5969885562238358,-0.28677549226168875,0.7847771354044363,0.14752942594300206,0.17701767594320125,0.3552472614397005,0.19706490612326455,0.2799648554834504,0.28490455572558576,0.28322307788652185,0.03886529119909583,-0.13497672142994285,0.05342100397094625,0.13427708654893672,0.006585413401101592
ret_20d,0.22422771241163095,0.5058990675781455,1.0,0.8676552659970439,0.4962538844716785,-0.43742149878329173,0.585431589305283,0.27966247745523803,0.3318126742607633,0.6378808529587573,0.40886110375637635,0.38487392787254093,0.03631005107137655,0.404907955662609,0.11719359868172241,-0.15614001481403397,0.11250779572057618,0.26838276184893795,-0.0011495769639789752
rsi_14,0.3485188959286681,0.6751932015964145,0.8676552659970439,1.0,0.5510016978679098,-0.37837155823653984,0.7893024830229011,0.2731645568058895,0.3268026179031352,0.6649234952106851,0.41756706523186593,0.42946421099853144,0.16657935923280315,0.4122578496997279,0.14188693736542174,-0.08704479213841704,0.12962838944747945,0.3289987149689174,-0.0025356497411481954
macd_hist,0.1644527429552536,0.5969885562238358,0.4962538844716785,0.5510016978679098,1.0,-0.22521844282394218,0.632254808943297,0.0235126234671886,0.033113740510608315,0.2532627973404841,0.010335901689670584,0.1370447776974043,0.11270258082848647,0.10891026766281724,-0.013627913889410594,-0.07389995277179875,-0.051782944524308885,-0.019223742065416903,0.0026793409219763647
natr_14,-0.12400114606667978,-0.28677549226168875,-0.43742149878329173,-0.37837155823653984,-0.22521844282394218,1.0,-0.26465287220943196,-0.011608428474201866,-0.1418857759677777,-0.48851837805909887,-0.25385103596678305,-0.0696341268636515,0.029490175704861343,-0.10689668668538688,-0.1458642762193839,0.7680907724332732,0.1325155002549308,-0.246069789406315,-0.01372748483287332
bb_position,0.5087726475719007,0.7847771354044363,0.585431589305283,0.7893024830229011,0.632254808943297,-0.26465287220943196,1.0,0.13274107932109633,0.1534750188230925,0.38181733381273414,0.1928462109816856,0.29358447539441596,0.4029204794490571,0.2258947702941205,0.056409907195947545,-0.046888017145737954,0.008026245538534744,0.20596969537679966,-0.017934858295007673
mvrv_zscore,0.0666706194934981,0.14752942594300206,0.27966247745523803,0.2731645568058895,0.0235126234671886,-0.011608428474201866,0.13274107932109633,1.0,0.9241794644113579,0.4659524165404118,0.4873089058492108,0.5743966182384882,-0.10399842723526946,0.3608815404800369,-0.7179527022876241,-0.14126941552724406,0.3273054807259756,0.09144651041261329,-0.0010283045770896814
nupl,0.07878983932696802,0.17701767594320125,0.3318126742607633,0.3268026179031352,0.033113740510608315,-0.1418857759677777,0.1534750188230925,0.9241794644113579,1.0,0.5764003995283933,0.6188268493330207,0.563111089026391,-0.12387864805034986,0.34428831951588423,-0.7108502407267632,-0.34251034357293575,0.3081874506041946,-0.017993593945177133,0.0002506844111006482
nvt,0.15750513622411336,0.3552472614397005,0.6378808529587573,0.6649234952106851,0.2532627973404841,-0.48851837805909887,0.38181733381273414,0.4659524165404118,0.5764003995283933,1.0,0.682935873678245,0.46140200624113487,-0.05258325864950676,0.3956562748927131,-0.08868336731434637,-0.40818942736919045,0.2175385227186399,0.3230056733344657,-0.00410070183031861
puell,0.08055456085967794,0.19706490612326455,0.40886110375637635,0.41756706523186593,0.010335901689670584,-0.25385103596678305,0.1928462109816856,0.4873089058492108,0.6188268493330207,0.682935873678245,1.0,0.4183061899117105,-0.09210964199891271,0.5012254329450974,-0.1448952913355581,-0.2918359948595154,0.43602037374605035,0.1363108766336306,0.02331514161737469
sopr,0.1907626358246901,0.2799648554834504,0.38487392787254093,0.42946421099853144,0.1370447776974043,-0.0696341268636515,0.29358447539441596,0.5743966182384882,0.563111089026391,0.46140200624113487,0.4183061899117105,1.0,0.020167097076184488,0.39390842769331413,-0.33009253079800727,-0.03154154506840779,0.17082510871724976,0.11207441178435765,-0.04901176848884292
ntv_ratio,0.6987053191917647,0.28490455572558576,0.03631005107137655,0.16657935923280315,0.11270258082848647,0.029490175704861343,0.4029204794490571,-0.10399842723526946,-0.12387864805034986,-0.05258325864950676,-0.09210964199891271,0.020167097076184488,1.0,-0.09564566351288566,0.07092369665268816,0.08759505179173958,-0.034533782150299876,-0.007343855990143518,-0.035151364628326257
funding_rate,-0.0006476763020544072,0.28322307788652185,0.404907955662609,0.4122578496997279,0.10891026766281724,-0.10689668668538688,0.2258947702941205,0.3608815404800369,0.34428831951588423,0.3956562748927131,0.5012254329450974,0.39390842769331413,-0.09564566351288566,1.0,-0.021556866892945087,0.08223091526765962,0.2415537640933834,0.18028463371880957,-0.0428680973452921
cot_net_frac,0.017624400864588198,0.03886529119909583,0.11719359868172241,0.14188693736542174,-0.013627913889410594,-0.1458642762193839,0.056409907195947545,-0.7179527022876241,-0.7108502407267632,-0.08868336731434637,-0.1448952913355581,-0.33009253079800727,0.07092369665268816,-0.021556866892945087,1.0,0.15890925193456126,0.07566836631806691,0.2638603226036551,-8.731462184768799e-05
dvol,-0.06442903219913822,-0.13497672142994285,-0.15614001481403397,-0.08704479213841704,-0.07389995277179875,0.7680907724332732,-0.046888017145737954,-0.14126941552724406,-0.34251034357293575,-0.40818942736919045,-0.2918359948595154,-0.03154154506840779,0.08759505179173958,0.08223091526765962,0.15890925193456126,1.0,0.0075945615199763524,0.017508644491800233,-0.028067008869446602
month_sin,0.021270467469942215,0.05342100397094625,0.11250779572057618,0.12962838944747945,-0.051782944524308885,0.1325155002549308,0.008026245538534744,0.3273054807259756,0.3081874506041946,0.2175385227186399,0.43602037374605035,0.17082510871724976,-0.034533782150299876,0.2415537640933834,0.07566836631806691,0.0075945615199763524,1.0,0.020610601860380228,0.0021338212426761168
month_cos,0.06104464041213909,0.13427708654893672,0.26838276184893795,0.3289987149689174,-0.019223742065416903,-0.246069789406315,0.20596969537679966,0.09144651041261329,-0.017993593945177133,0.3230056733344657,0.1363108766336306,0.11207441178435765,-0.007343855990143518,0.18028463371880957,0.2638603226036551,0.017508644491800233,0.020610601860380228,1.0,-0.0013361367181872015
weekday,-0.024984747836900287,0.006585413401101592,-0.0011495769639789752,-0.0025356497411481954,0.0026793409219763647,-0.01372748483287332,-0.017934858295007673,-0.0010283045770896814,0.0002506844111006482,-0.00410070183031861,0.02331514161737469,-0.04901176848884292,-0.035151364628326257,-0.0428680973452921,-8.731462184768799e-05,-0.028067008869446602,0.0021338212426761168,-0.0013361367181872015,1.0
