,ret_1h,ret_24h,close_vs_sma24,rvol_24h,range_24h,vol_ratio_24h,rsi_14,taker_buy_frac_1h,oi_chg_4h,funding_rate
ret_1h,1.0,0.20655077129928603,0.35074854323284793,0.0074958443202076805,-0.010019587472455573,-0.040731576120163676,0.32979998675382766,0.3920501720998127,0.0275551880494792,-0.010247067728836996
ret_24h,0.20655077129928603,1.0,0.8612742560257413,-0.0698258196977923,-0.13508885320493794,-0.023606921407345254,0.7921098257688988,0.12513035099983255,0.07494498505808328,0.12211051493208631
close_vs_sma24,0.35074854323284793,0.8612742560257413,1.0,-0.02705490248957962,-0.0969914391052234,-0.04036582753053384,0.868007163851205,0.18765639859319722,0.10647622316737142,0.057888976665767734
rvol_24h,0.0074958443202076805,-0.0698258196977923,-0.02705490248957962,1.0,0.8816648404827384,-0.01546717782832911,-0.029043729425692364,0.04534798629774611,-0.07900006575368476,0.1945189199251313
range_24h,-0.010019587472455573,-0.13508885320493794,-0.0969914391052234,0.8816648404827384,1.0,0.027622111680426796,-0.05932236188725432,0.03444803410451405,-0.121023440954,0.17614635445358345
vol_ratio_24h,-0.040731576120163676,-0.023606921407345254,-0.04036582753053384,-0.01546717782832911,0.027622111680426796,1.0,-0.013914540176826511,0.055670273733754196,0.0029704065249837575,0.010314496240601708
rsi_14,0.32979998675382766,0.7921098257688988,0.868007163851205,-0.029043729425692364,-0.05932236188725432,-0.013914540176826511,1.0,0.22190930333474104,0.0914007718150545,0.06956258682592682
taker_buy_frac_1h,0.3920501720998127,0.12513035099983255,0.18765639859319722,0.04534798629774611,0.03444803410451405,0.055670273733754196,0.22190930333474104,1.0,0.043108695069114605,0.000162616734705657
oi_chg_4h,0.0275551880494792,0.07494498505808328,0.10647622316737142,-0.07900006575368476,-0.121023440954,0.0029704065249837575,0.0914007718150545,0.043108695069114605,1.0,-0.023906565874842606
funding_rate,-0.010247067728836996,0.12211051493208631,0.057888976665767734,0.1945189199251313,0.17614635445358345,0.010314496240601708,0.06956258682592682,0.000162616734705657,-0.023906565874842606,1.0
