,ret_1h,ret_24h,close_vs_sma24,rvol_24h,range_24h,vol_ratio_24h,rsi_14,taker_buy_frac_1h,oi_chg_4h,funding_rate
ret_1h,1.0,0.14614567824143038,0.26163843818696597,0.009277464318285,0.004290031877098401,-0.015989071107369673,0.2855882844270692,0.5023762015323855,0.011382448503546357,-0.0026289855277109326
ret_24h,0.14614567824143038,1.0,0.8322689022977537,-0.0025545944535688724,0.0008292599283105713,0.0031331607284340035,0.8464726307078413,0.1449104957950019,0.03812514675742391,0.06413661828027879
close_vs_sma24,0.26163843818696597,0.8322689022977537,1.0,0.009489158276597786,0.009613703724449491,-0.009869556697520133,0.9359320083057104,0.21816969409386322,0.060089637918047646,0.02137996140726172
rvol_24h,0.009277464318285,-0.0025545944535688724,0.009489158276597786,1.0,0.9058045155135981,-0.031770308985895675,-0.00732981646409337,0.04445906862660588,-0.03092877616730299,0.21197070507628135
range_24h,0.004290031877098401,0.0008292599283105713,0.009613703724449491,0.9058045155135981,1.0,-0.017683975723291764,-0.0061677745046833325,0.04326403872912139,-0.02069105758372978,0.20020105885682993
vol_ratio_24h,-0.015989071107369673,0.0031331607284340035,-0.009869556697520133,-0.031770308985895675,-0.017683975723291764,1.0,-0.0035787657068238076,0.06628147945628059,0.0687621122879763,0.030497243866045482
rsi_14,0.2855882844270692,0.8464726307078413,0.9359320083057104,-0.00732981646409337,-0.0061677745046833325,-0.0035787657068238076,1.0,0.23395339800193735,0.05729553476569974,0.055466321669507
taker_buy_frac_1h,0.5023762015323855,0.1449104957950019,0.21816969409386322,0.04445906862660588,0.04326403872912139,0.06628147945628059,0.23395339800193735,1.0,0.04188437827275213,-0.006978390056380026
oi_chg_4h,0.011382448503546357,0.03812514675742391,0.060089637918047646,-0.03092877616730299,-0.02069105758372978,0.0687621122879763,0.05729553476569974,0.04188437827275213,1.0,-0.004997033084936653
funding_rate,-0.0026289855277109326,0.06413661828027879,0.02137996140726172,0.21197070507628135,0.20020105885682993,0.030497243866045482,0.055466321669507,-0.006978390056380026,-0.004997033084936653,1.0
