ts,extreme,up,down,total_hours,extreme_ratio
2020-09-01,7,1,6,716,0.009776536312849162
2020-10-01,3,1,2,744,0.004032258064516129
2020-11-01,8,2,6,702,0.011396011396011397
2020-12-01,16,5,11,681,0.023494860499265784
2021-01-01,80,29,51,744,0.10752688172043011
2021-02-01,32,11,21,639,0.050078247261345854
2021-03-01,11,5,6,718,0.01532033426183844
2021-04-01,7,2,5,664,0.010542168674698794
2021-05-01,64,23,41,744,0.08602150537634409
2021-06-01,25,13,12,714,0.0350140056022409
2021-07-01,9,5,4,744,0.012096774193548387
2021-08-01,1,1,0,715,0.0013986013986013986
2021-09-01,12,3,9,693,0.017316017316017316
2021-10-01,5,3,2,744,0.006720430107526882
2021-11-01,4,1,3,720,0.005555555555555556
2021-12-01,6,2,4,744,0.008064516129032258
2022-01-01,14,4,10,744,0.01881720430107527
2022-02-01,10,6,4,672,0.01488095238095238
2022-03-01,8,6,2,732,0.01092896174863388
2022-04-01,0,0,0,720,0.0
2022-05-01,26,12,14,744,0.03494623655913978
2022-06-01,32,17,15,720,0.044444444444444446
2022-07-01,9,6,3,744,0.012096774193548387
2022-08-01,2,1,1,744,0.002688172043010753
2022-09-01,10,3,7,720,0.013888888888888888
2022-10-01,2,1,1,744,0.002688172043010753
2022-11-01,15,6,9,720,0.020833333333333332
2022-12-01,1,1,0,744,0.0013440860215053765
2023-01-01,7,4,3,744,0.009408602150537635
2023-02-01,1,1,0,672,0.001488095238095238
2023-03-01,10,4,6,717,0.01394700139470014
2023-04-01,4,2,2,720,0.005555555555555556
2023-05-01,2,0,2,744,0.002688172043010753
2023-06-01,4,2,2,720,0.005555555555555556
2023-07-01,0,0,0,744,0.0
2023-08-01,3,2,1,744,0.004032258064516129
2023-09-01,0,0,0,720,0.0
2023-10-01,5,4,1,744,0.006720430107526882
2023-11-01,2,0,2,720,0.002777777777777778
2023-12-01,2,0,2,744,0.002688172043010753
2024-01-01,8,1,7,744,0.010752688172043012
2024-02-01,2,0,2,684,0.0029239766081871343
2024-03-01,11,3,8,744,0.01478494623655914
2024-04-01,7,1,6,720,0.009722222222222222
2024-05-01,4,1,3,744,0.005376344086021506
2024-06-01,1,0,1,720,0.001388888888888889
2024-07-01,4,1,3,744,0.005376344086021506
2024-08-01,16,7,9,744,0.021505376344086023
2024-09-01,0,0,0,720,0.0
2024-10-01,1,0,1,744,0.0013440860215053765
2024-11-01,5,3,2,720,0.006944444444444444
2024-12-01,3,1,2,744,0.004032258064516129
2025-01-01,5,2,3,744,0.006720430107526882
2025-02-01,5,1,4,672,0.00744047619047619
2025-03-01,9,5,4,744,0.012096774193548387
2025-04-01,5,3,2,720,0.006944444444444444
2025-05-01,0,0,0,744,0.0
2025-06-01,0,0,0,720,0.0
2025-07-01,0,0,0,744,0.0
2025-08-01,2,1,1,744,0.002688172043010753
2025-09-01,0,0,0,720,0.0
2025-10-01,3,1,2,744,0.004032258064516129
2025-11-01,1,0,1,720,0.001388888888888889
2025-12-01,1,0,1,744,0.0013440860215053765
2026-01-01,3,0,3,744,0.004032258064516129
2026-02-01,8,2,6,672,0.011904761904761904
2026-03-01,2,2,0,744,0.002688172043010753
2026-04-01,0,0,0,720,0.0
2026-05-01,0,0,0,744,0.0
2026-06-01,1,1,0,459,0.002178649237472767
