feat_a,feat_b,abs_corr,corr
range_24h,rvol_24h,0.8816648404827384,0.8816648404827384
close_vs_sma24,rsi_14,0.868007163851205,0.868007163851205
close_vs_sma24,ret_24h,0.8612742560257413,0.8612742560257413
ret_24h,rsi_14,0.7921098257688988,0.7921098257688988
ret_1h,taker_buy_frac_1h,0.3920501720998127,0.3920501720998127
close_vs_sma24,ret_1h,0.35074854323284793,0.35074854323284793
ret_1h,rsi_14,0.32979998675382766,0.32979998675382766
rsi_14,taker_buy_frac_1h,0.22190930333474104,0.22190930333474104
ret_1h,ret_24h,0.20655077129928603,0.20655077129928603
funding_rate,rvol_24h,0.1945189199251313,0.1945189199251313
