t_k,klines__ret__1h,klines__ret__24h,klines__rvol__24h,klines__takerbuyfrac__1h,klines__range__6h,klines__range__24h,klines__atr__24h,klines__bbw__24h,klines__volz__6h,klines__volz__24h,futures__oi__asof,futures__oichg__4h,funding__rate__asof,nettaker__net__1d,futures__stale_h,funding__stale_h,nettaker__stale_h
1556668800000,-0.0030335394,0.0157823197,0.0030601398,0.4607393183,0.0096056803,0.0277833638,0.0055976753,0.0329742667,0.1484407682,-0.4290071343,,,,,,,
1556672400000,0.0027834108,0.0174907988,0.003089882,0.6526275334,0.0127689003,0.0311079125,0.0056902947,0.0341246647,1.8256779889,0.8658463388,,,,,,,
1556676000000,0.0006053654,0.016066443,0.0030778461,0.5462488,0.0127611752,0.0310890922,0.0056764721,0.0353394539,-0.623192501,-0.6673502103,,,,,,,
1556679600000,0.0030381075,0.021394648,0.0030514195,0.5694183381,0.0141529429,0.033992086,0.0057476684,0.0367540527,0.4901026972,0.1085465855,,,,,,,
1556683200000,-0.0011428422,0.0250977867,0.0028433455,0.6798110727,0.0119986166,0.034030978,0.0056803983,0.0365428071,1.2669867432,0.9097221087,,,,,,,
1556686800000,-0.0014619692,0.0267454825,0.0027604485,0.5493361124,0.0120161838,0.0326110767,0.0056090659,0.0346107312,-1.1107448369,-0.9416387239,,,,,,,
1556690400000,0.0014715987,0.0279600269,0.00275581,0.6019984193,0.0108394295,0.0322771215,0.0055508143,0.0323385106,-1.2139676582,-1.2637870174,,,,,,,
1556694000000,0.0011366632,0.0277537876,0.0027555311,0.527650156,0.0090288269,0.0317064016,0.0054859227,0.029977738,-0.5967833996,-0.9353562954,,,,,,,
1556697600000,-0.000311854,0.0251627729,0.00276114,0.4500688187,0.0081686405,0.0317162924,0.0053543075,0.0275732236,-0.6954898568,-1.0873026766,,,,,,,
1556701200000,-0.0025628572,0.0206941901,0.0028510035,0.5306951863,0.0066090103,0.0317977856,0.0054228437,0.0246703458,0.5264261816,-0.1313004849,,,,,,,
