date,contract,contract_group,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All
2024-12-31,BITCOIN,BITCOIN,34886.0,14154.0,2971.0,931.0,10594.0,750.0,219.0,3578.0,23948.0,2193.0,949.0,2017.0,821.0,33439.0,33851.0,1447.0,1035.0,-4329.0,-1062.0,-1015.0,-207.0,-442.0,-31.0,66.0,-478.0,-1830.0,-1032.0,-608.0,391.0,-524.0,-4286.0,-4182.0,-43.0,-147.0,40.6,8.5,2.7,30.4,2.1,0.6,10.3,68.6,6.3,2.7,5.8,2.4,95.9,97.0,4.1,3.0,138.0,9.0,7.0,5.0,15.0,0.0,4.0,29.0,50.0,17.0,12.0,14.0,7.0,80.0,91.0
2024-12-24,BITCOIN,BITCOIN,39215.0,15216.0,3986.0,1138.0,11036.0,781.0,154.0,4055.0,25778.0,3224.0,1557.0,1626.0,1345.0,37725.0,38033.0,1490.0,1182.0,-5521.0,-872.0,-659.0,-16.0,-701.0,-73.0,-185.0,578.0,-1684.0,464.0,-1661.0,-271.0,-2808.0,-5202.0,-5234.0,-319.0,-287.0,38.8,10.2,2.9,28.1,2.0,0.4,10.3,65.7,8.2,4.0,4.1,3.4,96.2,97.0,3.8,3.0,155.0,9.0,8.0,7.0,17.0,0.0,8.0,30.0,58.0,32.0,11.0,17.0,9.0,99.0,112.0
2024-12-17,BITCOIN,BITCOIN,44736.0,16088.0,4645.0,1154.0,11737.0,854.0,339.0,3477.0,27463.0,2761.0,3217.0,1897.0,4153.0,42927.0,43267.0,1809.0,1469.0,5161.0,1390.0,-116.0,-176.0,579.0,26.0,11.0,-1076.0,1323.0,278.0,967.0,430.0,3153.0,5126.0,4930.0,35.0,231.0,36.0,10.4,2.6,26.2,1.9,0.8,7.8,61.4,6.2,7.2,4.2,9.3,96.0,96.7,4.0,3.3,161.0,8.0,10.0,5.0,17.0,0.0,8.0,31.0,57.0,34.0,15.0,19.0,9.0,99.0,118.0
2024-12-10,BITCOIN,BITCOIN,39575.0,14698.0,4761.0,1330.0,11158.0,828.0,328.0,4553.0,26139.0,2483.0,2251.0,1467.0,1000.0,37801.0,38337.0,1774.0,1238.0,786.0,301.0,52.0,-199.0,-152.0,-94.0,33.0,580.0,-81.0,367.0,-364.0,421.0,175.0,740.0,673.0,46.0,113.0,37.1,12.0,3.4,28.2,2.1,0.8,11.5,66.1,6.3,5.7,3.7,2.5,95.5,96.9,4.5,3.1,152.0,9.0,9.0,5.0,18.0,0.0,7.0,27.0,56.0,28.0,15.0,15.0,11.0,94.0,109.0
2024-12-03,BITCOIN,BITCOIN,38789.0,14397.0,4709.0,1529.0,11310.0,922.0,296.0,3973.0,26220.0,2116.0,2615.0,1046.0,826.0,37061.0,37664.0,1728.0,1125.0,-6108.0,602.0,-516.0,-149.0,-93.0,-38.0,-136.0,398.0,1238.0,-4612.0,-429.0,-325.0,-1589.0,-6009.0,-6127.0,-99.0,19.0,37.1,12.1,3.9,29.2,2.4,0.8,10.2,67.6,5.5,6.7,2.7,2.1,95.5,97.1,4.5,2.9,150.0,9.0,8.0,5.0,17.0,0.0,7.0,32.0,51.0,28.0,16.0,13.0,10.0,97.0,103.0
2024-11-26,BITCOIN,BITCOIN,44897.0,13795.0,5225.0,1678.0,11403.0,960.0,432.0,3575.0,24982.0,6728.0,3044.0,1371.0,2415.0,43070.0,43791.0,1827.0,1106.0,-463.0,-1141.0,105.0,453.0,-246.0,13.0,103.0,-36.0,-932.0,2542.0,778.0,78.0,-2723.0,-271.0,-361.0,-192.0,-102.0,30.7,11.6,3.7,25.4,2.1,1.0,8.0,55.6,15.0,6.8,3.1,5.4,95.9,97.5,4.1,2.5,157.0,9.0,10.0,9.0,16.0,4.0,8.0,32.0,53.0,30.0,16.0,17.0,9.0,102.0,111.0
2024-11-19,BITCOIN,BITCOIN,45360.0,14936.0,5120.0,1224.0,11649.0,947.0,330.0,3611.0,25913.0,4187.0,2266.0,1293.0,5138.0,43341.0,44152.0,2019.0,1208.0,3108.0,1.0,102.0,322.0,337.0,0.0,5.0,113.0,154.0,3.0,10.0,370.0,2051.0,2842.0,3007.0,266.0,101.0,32.9,11.3,2.7,25.7,2.1,0.7,8.0,57.1,9.2,5.0,2.9,11.3,95.5,97.3,4.5,2.7,159.0,8.0,9.0,7.0,18.0,0.0,8.0,31.0,55.0,28.0,16.0,17.0,10.0,106.0,106.0
2024-11-12,BITCOIN,BITCOIN,42252.0,14935.0,5018.0,902.0,11312.0,947.0,325.0,3498.0,25759.0,4184.0,2256.0,924.0,3087.0,40499.0,41146.0,1753.0,1106.0,7953.0,2534.0,664.0,180.0,1232.0,349.0,4.0,549.0,2848.0,1858.0,-436.0,107.0,1827.0,7748.0,7838.0,205.0,115.0,35.3,11.9,2.1,26.8,2.2,0.8,8.3,61.0,9.9,5.3,2.2,7.3,95.9,97.4,4.1,2.6,158.0,8.0,10.0,5.0,17.0,4.0,7.0,38.0,53.0,30.0,14.0,12.0,11.0,108.0,103.0
2024-11-05,BITCOIN,BITCOIN,34299.0,12401.0,4354.0,722.0,10080.0,598.0,321.0,2949.0,22911.0,2325.0,2693.0,816.0,1260.0,32751.0,33308.0,1548.0,991.0,-1019.0,-105.0,-77.0,-311.0,-197.0,52.0,-47.0,-713.0,-2208.0,454.0,-1137.0,-10.0,1042.0,-1014.0,-1105.0,-5.0,86.0,36.2,12.7,2.1,29.4,1.7,0.9,8.6,66.8,6.8,7.9,2.4,3.7,95.5,97.1,4.5,2.9,147.0,9.0,10.0,5.0,18.0,5.0,6.0,32.0,48.0,27.0,15.0,9.0,9.0,98.0,96.0
2024-10-29,BITCOIN,BITCOIN,35318.0,12506.0,4431.0,1033.0,10277.0,546.0,368.0,3662.0,25120.0,1871.0,3830.0,826.0,218.0,33766.0,34412.0,1552.0,906.0,615.0,534.0,87.0,355.0,535.0,18.0,-158.0,583.0,1508.0,-243.0,-76.0,22.0,-832.0,697.0,757.0,-82.0,-142.0,35.4,12.5,2.9,29.1,1.5,1.0,10.4,71.1,5.3,10.8,2.3,0.6,95.6,97.4,4.4,2.6,151.0,8.0,9.0,4.0,18.0,4.0,6.0,36.0,50.0,29.0,16.0,9.0,7.0,102.0,95.0
