timestamp,datetime,sum_open_interest,sum_open_interest_value,long_short_ratio,top_long_short_account_ratio,top_long_short_position_ratio,taker_long_short_vol_ratio
1778692200000,2026-05-13 17:10:00,,,,,,1.1398
1778692500000,2026-05-13 17:15:00,104695.60500000,8291525481.38250000,1.0149,1.0060,0.9361,0.5846
1778692800000,2026-05-13 17:20:00,104925.56400000,8317040248.58040000,1.0214,1.0105,0.9381,0.6973
1778693100000,2026-05-13 17:25:00,104998.20200000,8322994334.55934700,1.0259,1.0133,0.9368,1.1472
1778693400000,2026-05-13 17:30:00,105087.42300000,8333180434.08480000,1.0284,1.0149,0.9364,0.8677
1778693700000,2026-05-13 17:35:00,105111.58100000,8337137250.27737100,1.0292,1.0149,0.9361,0.6558
1778694000000,2026-05-13 17:40:00,105114.95500000,8336855434.59954500,1.0313,1.0161,0.9353,1.9159
1778694300000,2026-05-13 17:45:00,105144.85700000,8347154438.46130300,1.0329,1.0165,0.9341,0.9202
1778694600000,2026-05-13 17:50:00,105090.78900000,8345763990.27720000,1.0321,1.0153,0.9337,0.6242
1778694900000,2026-05-13 17:55:00,105104.52800000,8347641572.75460150,1.0321,1.0149,0.9323,1.9335
1778695200000,2026-05-13 18:00:00,104998.04100000,8344448082.55754500,1.0268,1.0101,0.9328,0.8437
1778695500000,2026-05-13 18:05:00,104906.40300000,8339198805.99540000,1.0276,1.0096,0.9318,0.9571
1778695800000,2026-05-13 18:10:00,104898.95600000,8345513488.04327100,1.0276,1.0092,0.9320,0.7698
1778696100000,2026-05-13 18:15:00,104882.26100000,8344967584.69110000,1.0288,1.0096,0.9320,1.7399
1778696400000,2026-05-13 18:20:00,104787.04000000,8348655923.10400000,1.0247,1.0056,0.9315,1.1598
1778696700000,2026-05-13 18:25:00,104715.50900000,8348763989.14379600,1.0284,1.0125,0.9308,1.0613
1778697000000,2026-05-13 18:30:00,104702.72200000,8347288397.91140000,1.0255,1.0101,0.9298,0.3918
1778697300000,2026-05-13 18:35:00,104746.37000000,8346012692.77100000,1.0214,1.0064,0.9291,0.9271
1778697600000,2026-05-13 18:40:00,104728.01400000,8346713300.06898000,1.0186,1.0032,0.9285,0.6410
1778697900000,2026-05-13 18:45:00,104684.01200000,8333266091.24800000,1.0157,1.0012,0.9277,0.5757
1778698200000,2026-05-13 18:50:00,104527.44100000,8314196279.09280000,1.0092,0.9972,0.9271,0.7564
1778698500000,2026-05-13 18:55:00,104518.85800000,8319032430.58922500,1.0076,0.9956,0.9272,0.4675
