https://www.CryptoDataDownload.com
date,symbol,total_transactions,total_block_cnt,avg_block_difficulty,avg_secs_between_blocks,hashrate,avg_block_size_MB,avg_transactions_count_per_block,first_block,last_block
2025-07-16,btc,399196,131,16415263186309910,656.6,8.259684920034891e+20,1.4414,3047,905742,905872
2025-07-15,btc,418737,164,20582214610527044,519.57,1.0438061002652856e+21,1.4019,2553,905578,905741
2025-07-14,btc,457360,145,18183060760220210,561.38,9.660759952785409e+20,1.5741,3154,905433,905577
2025-07-13,btc,399761,137,17172890717985752,620.14,8.745302174738943e+20,1.4545,2918,905296,905432
2025-07-12,btc,395744,149,18352887023993824,582.3,9.146559474963592e+20,1.4841,2656,905147,905295
2025-07-11,btc,408758,150,17426818290944554,574.22,8.748070294526756e+20,1.5243,2725,904997,905146
2025-07-10,btc,446575,171,19882947043359556,503.01,9.986505671640142e+20,1.4485,2612,904826,904996
2025-07-09,btc,444726,164,19064237459221224,524.33,9.580450285556045e+20,1.4577,2712,904662,904825
2025-07-08,btc,354754,142,16491150194786456,608.55,8.25464142649401e+20,1.4736,2498,904520,904661
2025-07-07,btc,360355,151,17543776802964316,564.75,8.894732522405673e+20,1.263,2386,904369,904519
2025-07-06,btc,506401,160,18596403411142176,538.84,9.322440878901734e+20,1.5143,3165,904209,904368
2025-07-05,btc,427456,157,18245527875082890,549.58,9.140358028522801e+20,1.306,2723,904052,904208
2025-07-04,btc,366873,159,18479444899122412,537.3,9.349142635517797e+20,1.275,2307,903893,904051
2025-07-03,btc,361041,151,17543776802964316,571.41,8.791061650300444e+20,1.4949,2391,903742,903892
2025-07-02,btc,366147,153,17777693827003840,565.2,8.887744568185609e+20,1.3722,2393,903589,903741
2025-07-01,btc,325613,134,15555482098628360,631.15,7.959006336099764e+20,1.4706,2430,903455,903588
2025-06-30,btc,339268,145,16842025730845744,599.63,8.377452309588513e+20,1.3772,2340,903310,903454
2025-06-29,btc,380608,169,19894806080555936,511.39,9.945822107975474e+20,1.3041,2252,903141,903309
2025-06-28,btc,388943,145,18203246993075360,582.42,9.321960499859186e+20,1.7144,2682,902996,903140
2025-06-27,btc,335434,115,14410903869517994,737.55,7.361277913604695e+20,1.5837,2917,902881,902995
2025-06-26,btc,504341,157,19720184242498304,548.85,9.892146365100238e+20,1.5343,3212,902724,902880
2025-06-25,btc,387919,143,17950424118171534,593.68,9.145165004433576e+20,1.5909,2713,902581,902723
2025-06-24,btc,279124,117,14663726744421818,738.71,7.349775563633126e+20,1.4779,2386,902464,902580
2025-06-23,btc,290678,107,13399612369902696,809.59,6.706235000968239e+20,1.4573,2717,902357,902463
2025-06-22,btc,265421,107,13399612369902696,794.39,6.834617529577713e+20,1.4166,2481,902250,902356
2025-06-21,btc,309613,141,17697601243267710,611.56,8.877774624497338e+20,1.311,2196,902109,902249
2025-06-20,btc,353459,151,18961715617786830,564.94,9.610454025140944e+20,1.4394,2341,901958,902108
2025-06-19,btc,308332,127,15927841118940940,675.57,8.0366481875115e+20,1.5801,2428,901831,901957
2025-06-18,btc,441317,140,17571189805815798,614.38,8.837069001719862e+20,1.5107,3152,901691,901830
2025-06-17,btc,354536,118,14790138181873730,724.71,7.491733768261793e+20,1.5135,3005,901573,901690
2025-06-16,btc,361092,146,18329658430527270,593.33,9.150591459784655e+20,1.2807,2473,901427,901572
2025-06-15,btc,281934,136,17065544056008148,620.75,8.74642947088963e+20,1.1436,2073,901291,901426
2025-06-14,btc,273850,151,18967994942432680,572.73,9.482931700804544e+20,1.101,1814,901140,901290
2025-06-13,btc,351552,145,18285449061166456,594.47,9.174375396935134e+20,1.4266,2424,900995,901139
2025-06-12,btc,425413,148,18666395916607424,578.3,9.430838724387346e+20,1.4945,2874,900847,900994
2025-06-11,btc,347263,141,17777519920578502,611.46,8.919323247809495e+20,1.5754,2463,900706,900846
2025-06-10,btc,428797,169,21333023904694200,506.21,1.0773919075696742e+21,1.4272,2537,900537,900705
2025-06-09,btc,361275,140,17650537635431512,603.05,9.043768121420538e+20,1.3635,2581,900397,900536
2025-06-08,btc,307505,153,19301307342342370,562.31,9.699018825730967e+20,1.3305,2010,900244,900396
2025-06-07,btc,290718,143,18031484490872480,597.58,9.126595194992519e+20,1.1751,2033,900101,900243
2025-06-06,btc,298643,134,16888643924549572,643.74,8.472169467480699e+20,1.5769,2229,899967,900100
2025-06-05,btc,320509,134,16888643924549572,645.22,8.452720223941257e+20,1.3599,2392,899833,899966
2025-06-04,btc,337037,126,15872785643373662,685.21,7.959404471017058e+20,1.6676,2675,899707,899832
2025-06-03,btc,358895,144,18158466776019470,601.57,9.065971630166369e+20,1.8003,2492,899563,899706
2025-06-02,btc,346488,133,16761661639402584,632.47,8.623097114228954e+20,1.4465,2605,899430,899562
2025-06-01,btc,256072,133,16761661639402584,651.01,8.377548621350569e+20,1.2728,1925,899297,899429
2025-05-31,btc,299392,161,20317165623518284,535.99,1.017532613871901e+21,1.0651,1860,899136,899296
2025-05-30,btc,396232,155,18735401419323050,542.06,9.639418334582102e+20,1.419,2556,898981,899135
2025-05-29,btc,382859,159,19222035222422344,542.59,9.630002641183256e+20,1.4227,2408,898822,898980
2025-05-28,btc,541153,164,19830327476296470,528.15,9.893320630935842e+20,1.5767,3300,898658,898821
2025-05-27,btc,422984,141,17032183108475500,609.69,8.57030196241458e+20,1.3929,3000,898517,898657
2025-05-26,btc,358290,153,18492084517773400,564.3,9.259661926096171e+20,1.4641,2342,898364,898516
2025-05-25,btc,356355,151,18248767616223748,570.65,9.15650600527873e+20,1.4524,2360,898213,898363
2025-05-24,btc,395420,141,17032183108475500,616.87,8.470469585047346e+20,1.9174,2804,898072,898212
2025-05-23,btc,444625,155,18735401419323050,551.53,9.473949370517151e+20,1.8816,2869,897917,898071
