date,nupl
2022-06-11,0.1742
2022-06-12,0.1182
2022-06-13,-0.0336
2022-06-14,-0.0411
2022-06-15,-0.015
2022-06-16,-0.1197
2022-06-17,-0.1122
2022-06-18,-0.1941
2022-06-19,-0.1007
2022-06-20,-0.0993
2022-06-21,-0.0897
2022-06-22,-0.1274
2022-06-23,-0.0664
2022-06-24,-0.0591
2022-06-25,-0.0469
2022-06-26,-0.069
2022-06-27,-0.0835
2022-06-28,-0.107
2022-06-29,-0.1147
2022-06-30,-0.1182
2022-07-01,-0.1576
2022-07-02,-0.1585
2022-07-03,-0.1533
2022-07-04,-0.1011
2022-07-05,-0.1037
2022-07-06,-0.0806
2022-07-07,-0.0272
2022-07-08,-0.0281
2022-07-09,-0.0267
2022-07-10,-0.0621
2022-07-11,-0.1068
2022-07-12,-0.1426
2022-07-13,-0.0909
2022-07-14,-0.0706
2022-07-15,-0.0542
2022-07-16,-0.0359
2022-07-17,-0.0556
2022-07-18,0.0213
2022-07-19,0.063
2022-07-20,0.0556
2022-07-21,0.0544
2022-07-22,0.0364
2022-07-23,0.027
2022-07-24,0.033
2022-07-25,-0.0236
2022-07-26,-0.0251
2022-07-27,0.0507
2022-07-28,0.0855
2022-07-29,0.0829
2022-07-30,0.0777
2022-07-31,0.064
2022-08-01,0.0629
2022-08-02,0.052
2022-08-03,0.0452
2022-08-04,0.0376
2022-08-05,0.0662
2022-08-06,0.0515
2022-08-07,0.0606
2022-08-08,0.0855
2022-08-09,0.0607
2022-08-10,0.0918
2022-08-11,0.0914
2022-08-12,0.1085
2022-08-13,0.1098
2022-08-14,0.1048
2022-08-15,0.0972
2022-08-16,0.0882
2022-08-17,0.0686
2022-08-18,0.0626
2022-08-19,-0.0416
2022-08-20,-0.0262
2022-08-21,-0.0084
2022-08-22,-0.013
2022-08-23,-0.0066
2022-08-24,-0.0138
2022-08-25,-0.0044
2022-08-26,-0.0688
2022-08-27,-0.0793
2022-08-28,-0.1056
2022-08-29,-0.0656
2022-08-30,-0.0899
2022-08-31,-0.0764
2022-09-01,-0.071
2022-09-02,-0.0801
2022-09-03,-0.0866
2022-09-04,-0.0774
2022-09-05,-0.0884
2022-09-06,-0.1451
2022-09-07,-0.1146
2022-09-08,-0.1123
2022-09-09,-0.0063
2022-09-10,0.0069
2022-09-11,0.0152
2022-09-12,0.0401
2022-09-13,-0.0632
2022-09-14,-0.0591
2022-09-15,-0.086
2022-09-16,-0.0801
2022-09-17,-0.0631
2022-09-18,-0.1011
2022-09-19,-0.093
2022-09-20,-0.1306
2022-09-21,-0.1552
2022-09-22,-0.0989
2022-09-23,-0.1049
2022-09-24,-0.1262
2022-09-25,-0.1327
2022-09-26,-0.1074
2022-09-27,-0.1158
2022-09-28,-0.0959
2022-09-29,-0.0852
2022-09-30,-0.0941
2022-10-01,-0.1001
2022-10-02,-0.1147
2022-10-03,-0.0818
2022-10-04,-0.0439
2022-10-05,-0.0529
2022-10-06,-0.0631
2022-10-07,-0.0864
2022-10-08,-0.0919
2022-10-09,-0.0906
2022-10-10,-0.1077
2022-10-11,-0.1116
2022-10-12,-0.1047
2022-10-13,-0.0917
2022-10-14,-0.1027
2022-10-15,-0.1089
2022-10-16,-0.0975
2022-10-17,-0.0805
2022-10-18,-0.0934
2022-10-19,-0.1047
2022-10-20,-0.1087
2022-10-21,-0.1015
2022-10-22,-0.0984
2022-10-23,-0.0775
2022-10-24,-0.0912
2022-10-25,-0.0505
2022-10-26,-0.0156
2022-10-27,-0.04
2022-10-28,-0.0247
2022-10-29,-0.0138
2022-10-30,-0.0228
2022-10-31,-0.0291
2022-11-01,-0.0298
2022-11-02,-0.0456
2022-11-03,-0.0432
2022-11-04,0.002
2022-11-05,0.0091
2022-11-06,-0.0091
2022-11-07,-0.022
2022-11-08,-0.1318
2022-11-09,-0.3168
2022-11-10,-0.1824
2022-11-11,-0.2216
2022-11-12,-0.2343
2022-11-13,-0.2709
2022-11-14,-0.2465
2022-11-15,-0.2244
2022-11-16,-0.2384
2022-11-17,-0.2314
2022-11-18,-0.2167
2022-11-19,-0.2157
2022-11-20,-0.247
2022-11-21,-0.2839
2022-11-22,-0.2474
2022-11-23,-0.2188
2022-11-24,-0.2188
2022-11-25,-0.224
2022-11-26,-0.2273
2022-11-27,-0.23
2022-11-28,-0.2447
2022-11-29,-0.227
2022-11-30,-0.1754
2022-12-01,-0.1874
2022-12-02,-0.1785
2022-12-03,-0.1933
2022-12-04,-0.1767
2022-12-05,-0.1831
2022-12-06,-0.1736
2022-12-07,-0.191
2022-12-08,-0.1638
2022-12-09,-0.1691
2022-12-10,-0.1691
2022-12-11,-0.1716
2022-12-12,-0.1633
2022-12-13,-0.1252
2022-12-14,-0.1228
2022-12-15,-0.1511
2022-12-16,-0.2009
2022-12-17,-0.1895
2022-12-18,-0.1923
2022-12-19,-0.2123
2022-12-20,-0.179
2022-12-21,-0.1834
2022-12-22,-0.183
2022-12-23,-0.1856
2022-12-24,-0.1814
2022-12-25,-0.1808
2022-12-26,-0.1747
2022-12-27,-0.1888
2022-12-28,-0.1985
2022-12-29,-0.1912
2022-12-30,-0.1924
2022-12-31,-0.1956
2023-01-01,-0.1892
2023-01-02,-0.1846
2023-01-03,-0.1843
2023-01-04,-0.1714
2023-01-05,-0.1719
2023-01-06,-0.1632
2023-01-07,-0.1638
2023-01-08,-0.1508
2023-01-09,-0.1471
2023-01-10,-0.1295
2023-01-11,-0.0968
2023-01-12,-0.0449
2023-01-13,0.0115
2023-01-14,0.0591
2023-01-15,0.0553
2023-01-16,0.0688
2023-01-17,0.0662
2023-01-18,0.0456
2023-01-19,0.0637
2023-01-20,0.1293
2023-01-21,0.1325
2023-01-22,0.1296
2023-01-23,0.1371
2023-01-24,0.1259
2023-01-25,0.1421
2023-01-26,0.1403
2023-01-27,0.1428
2023-01-28,0.1413
2023-01-29,0.167
2023-01-30,0.1335
2023-01-31,0.1445
2023-02-01,0.1652
2023-02-02,0.1563
2023-02-03,0.154
2023-02-04,0.1499
2023-02-05,0.1357
2023-02-06,0.1287
2023-02-07,0.1466
2023-02-08,0.1358
2023-02-09,0.0898
2023-02-10,0.0833
2023-02-11,0.0928
2023-02-12,0.0899
2023-02-13,0.0894
2023-02-14,0.1073
2023-02-15,0.185
2023-02-16,0.1566
2023-02-17,0.1923
2023-02-18,0.1935
2023-02-19,0.1813
2023-02-20,0.1996
2023-02-21,0.1875
2023-02-22,0.1785
2023-02-23,0.17
2023-02-24,0.143
2023-02-25,0.1422
2023-02-26,0.1568
2023-02-27,0.1543
2023-02-28,0.1421
2023-03-01,0.1601
2023-03-02,0.1546
2023-03-03,0.1133
2023-03-04,0.1126
2023-03-05,0.1165
2023-03-06,0.116
2023-03-07,0.1105
2023-03-08,0.0905
2023-03-09,0.0308
2023-03-10,0.0193
2023-03-11,0.0301
2023-03-12,0.0984
2023-03-13,0.1805
2023-03-14,0.1972
2023-03-15,0.1833
2023-03-16,0.2074
2023-03-17,0.275
2023-03-18,0.2612
2023-03-19,0.2883
2023-03-20,0.2814
2023-03-21,0.2912
2023-03-22,0.27
2023-03-23,0.2945
2023-03-24,0.2722
2023-03-25,0.273
2023-03-26,0.2863
2023-03-27,0.263
2023-03-28,0.2664
2023-03-29,0.2942
2023-03-30,0.2968
2023-03-31,0.307
2023-04-01,0.3063
2023-04-02,0.2992
2023-04-03,0.2897
2023-04-04,0.2991
2023-04-05,0.2981
2023-04-06,0.2949
2023-04-07,0.2925
2023-04-08,0.2927
2023-04-09,0.3017
2023-04-10,0.3326
2023-04-11,0.344
2023-04-12,0.3364
2023-04-13,0.3465
2023-04-14,0.3478
2023-04-15,0.3441
2023-04-16,0.3444
2023-04-17,0.3244
2023-04-18,0.3452
2023-04-19,0.3086
2023-04-20,0.2954
2023-04-21,0.2697
2023-04-22,0.2843
2023-04-23,0.2783
2023-04-24,0.2761
2023-04-25,0.2967
2023-04-26,0.2989
2023-04-27,0.3239
2023-04-28,0.3196
2023-04-29,0.3174
2023-04-30,0.317
2023-05-01,0.289
2023-05-02,0.303
2023-05-03,0.3112
2023-05-04,0.3071
2023-05-05,0.3216
2023-05-06,0.302
2023-05-07,0.2895
2023-05-08,0.2728
2023-05-09,0.2718
2023-05-10,0.27
2023-05-11,0.255
2023-05-12,0.2498
2023-05-13,0.2494
2023-05-14,0.2535
2023-05-15,0.2594
2023-05-16,0.2556
2023-05-17,0.2659
2023-05-18,0.2499
2023-05-19,0.2517
2023-05-20,0.2575
2023-05-21,0.2475
2023-05-22,0.2496
2023-05-23,0.2598
2023-05-24,0.2347
2023-05-25,0.2384
2023-05-26,0.2452
2023-05-27,0.2497
2023-05-28,0.2817
2023-05-29,0.2728
2023-05-30,0.2714
2023-05-31,0.2585
2023-06-01,0.2473
2023-06-02,0.2592
2023-06-03,0.2544
2023-06-04,0.2558
2023-06-05,0.2158
2023-06-06,0.2593
2023-06-07,0.2463
2023-06-08,0.2389
2023-06-09,0.2376
2023-06-10,0.2198
2023-06-11,0.2224
2023-06-12,0.2245
2023-06-13,0.2225
2023-06-14,0.198
2023-06-15,0.2116
2023-06-16,0.2341
2023-06-17,0.2392
2023-06-18,0.2341
2023-06-19,0.2489
2023-06-20,0.2878
2023-06-21,0.327
2023-06-22,0.3267
2023-06-23,0.3418
2023-06-24,0.3371
2023-06-25,0.3493
2023-06-26,0.3305
2023-06-27,0.3407
2023-06-28,0.3372
2023-06-29,0.3342
2023-06-30,0.3358
2023-07-01,0.3362
2023-07-02,0.3546
2023-07-03,0.3539
2023-07-04,0.3376
2023-07-05,0.3316
2023-07-06,0.3189
2023-07-07,0.3167
2023-07-08,0.3276
2023-07-09,0.294
2023-07-10,0.3289
2023-07-11,0.3306
2023-07-12,0.304
2023-07-13,0.3273
2023-07-14,0.325
2023-07-15,0.3224
2023-07-16,0.3203
2023-07-17,0.3223
2023-07-18,0.3145
2023-07-19,0.3173
2023-07-20,0.309
2023-07-21,0.3159
2023-07-22,0.3147
2023-07-23,0.3224
2023-07-24,0.3001
2023-07-25,0.3013
2023-07-26,0.3045
2023-07-27,0.302
2023-07-28,0.3066
2023-07-29,0.3077
2023-07-30,0.3052
2023-07-31,0.3041
2023-08-01,0.3161
2023-08-02,0.3033
2023-08-03,0.3028
2023-08-04,0.3014
2023-08-05,0.3008
2023-08-06,0.2996
