date,puell_multiple
2022-06-10,0.681
2022-06-11,0.532
2022-06-12,0.464
2022-06-13,0.504
2022-06-14,0.581
2022-06-15,0.378
2022-06-16,0.347
2022-06-17,0.465
2022-06-18,0.428
2022-06-19,0.426
2022-06-20,0.487
2022-06-21,0.405
2022-06-22,0.504
2022-06-23,0.432
2022-06-24,0.509
2022-06-25,0.457
2022-06-26,0.443
2022-06-27,0.465
2022-06-28,0.476
2022-06-29,0.519
2022-06-30,0.407
2022-07-01,0.417
2022-07-02,0.47
2022-07-03,0.455
2022-07-04,0.375
2022-07-05,0.412
2022-07-06,0.536
2022-07-07,0.509
2022-07-08,0.457
2022-07-09,0.504
2022-07-10,0.388
2022-07-11,0.462
2022-07-12,0.351
2022-07-13,0.404
2022-07-14,0.469
2022-07-15,0.498
2022-07-16,0.41
2022-07-17,0.465
2022-07-18,0.513
2022-07-19,0.467
2022-07-20,0.513
2022-07-21,0.478
2022-07-22,0.552
2022-07-23,0.568
2022-07-24,0.488
2022-07-25,0.542
2022-07-26,0.605
2022-07-27,0.539
2022-07-28,0.562
2022-07-29,0.49
2022-07-30,0.572
2022-07-31,0.512
2022-08-01,0.576
2022-08-02,0.535
2022-08-03,0.483
2022-08-04,0.565
2022-08-05,0.601
2022-08-06,0.598
2022-08-07,0.558
2022-08-08,0.541
2022-08-09,0.578
2022-08-10,0.548
2022-08-11,0.615
2022-08-12,0.557
2022-08-13,0.532
2022-08-14,0.575
2022-08-15,0.583
2022-08-16,0.498
2022-08-17,0.554
2022-08-18,0.617
2022-08-19,0.524
2022-08-20,0.524
2022-08-21,0.516
2022-08-22,0.62
2022-08-23,0.525
2022-08-24,0.577
2022-08-25,0.6
2022-08-26,0.49
2022-08-27,0.535
2022-08-28,0.539
2022-08-29,0.545
2022-08-30,0.497
2022-08-31,0.472
2022-09-01,0.439
2022-09-02,0.498
2022-09-03,0.575
2022-09-04,0.52
2022-09-05,0.461
2022-09-06,0.486
2022-09-07,0.424
2022-09-08,0.544
2022-09-09,0.591
2022-09-10,0.691
2022-09-11,0.595
2022-09-12,0.482
2022-09-13,0.449
2022-09-14,0.507
2022-09-15,0.443
2022-09-16,0.601
2022-09-17,0.527
