date,mvrv
2022-06-08,1.2945
2022-06-09,1.2892
2022-06-10,1.2478
2022-06-11,1.2186
2022-06-12,1.1544
2022-06-13,0.9707
2022-06-14,0.9669
2022-06-15,0.9909
2022-06-16,0.8972
2022-06-17,0.9064
2022-06-18,0.846
2022-06-19,0.9119
2022-06-20,0.9163
2022-06-21,0.9231
2022-06-22,0.8939
2022-06-23,0.943
2022-06-24,0.9528
2022-06-25,0.9601
2022-06-26,0.9424
2022-06-27,0.9291
2022-06-28,0.9082
2022-06-29,0.9012
2022-06-30,0.871
2022-07-01,0.8727
2022-07-02,0.8683
2022-07-03,0.8708
2022-07-04,0.9138
2022-07-05,0.9127
2022-07-06,0.931
2022-07-07,0.9804
2022-07-08,0.9882
2022-07-09,0.9794
2022-07-10,0.9455
2022-07-11,0.9093
2022-07-12,0.8814
2022-07-13,0.9187
2022-07-14,0.9377
2022-07-15,0.954
2022-07-16,0.9707
2022-07-17,0.954
2022-07-18,1.0215
2022-07-19,1.0713
2022-07-20,1.0669
2022-07-21,1.0629
2022-07-22,1.0445
2022-07-23,1.035
2022-07-24,1.043
2022-07-25,0.9916
2022-07-26,0.9773
2022-07-27,1.0559
2022-07-28,1.0987
2022-07-29,1.1039
2022-07-30,1.0889
2022-07-31,1.0769
2022-08-01,1.0759
2022-08-02,1.0625
2022-08-03,1.0526
2022-08-04,1.0449
2022-08-05,1.0735
2022-08-06,1.0619
2022-08-07,1.0691
2022-08-08,1.099
2022-08-09,1.0718
2022-08-10,1.1051
2022-08-11,1.1058
2022-08-12,1.1269
2022-08-13,1.1283
2022-08-14,1.1232
2022-08-15,1.1129
2022-08-16,1.103
2022-08-17,1.0792
2022-08-18,1.0741
2022-08-19,0.9686
2022-08-20,0.9799
2022-08-21,0.9988
2022-08-22,0.9877
2022-08-23,0.9987
2022-08-24,0.994
2022-08-25,1.0018
2022-08-26,0.9403
2022-08-27,0.9313
2022-08-28,0.9142
2022-08-29,0.9419
2022-08-30,0.9223
2022-08-31,0.932
2022-09-01,0.9362
2022-09-02,0.9295
2022-09-03,0.923
2022-09-04,0.9302
2022-09-05,0.9229
2022-09-06,0.8798
2022-09-07,0.901
2022-09-08,0.9027
2022-09-09,0.9976
2022-09-10,1.014
2022-09-11,1.0151
2022-09-12,1.0445
2022-09-13,0.9448
2022-09-14,0.9496
2022-09-15,0.9251
2022-09-16,0.9275
2022-09-17,0.9454
2022-09-18,0.9131
2022-09-19,0.9199
2022-09-20,0.8883
2022-09-21,0.8717
2022-09-22,0.9146
2022-09-23,0.9107
2022-09-24,0.8919
2022-09-25,0.8859
2022-09-26,0.9053
2022-09-27,0.9015
2022-09-28,0.9185
2022-09-29,0.9231
2022-09-30,0.919
2022-10-01,0.9134
2022-10-02,0.8995
2022-10-03,0.9289
2022-10-04,0.9624
2022-10-05,0.9539
2022-10-06,0.9445
2022-10-07,0.9253
2022-10-08,0.92
2022-10-09,0.9207
2022-10-10,0.9081
2022-10-11,0.903
2022-10-12,0.9088
2022-10-13,0.92
2022-10-14,0.9103
2022-10-15,0.9053
2022-10-16,0.9145
2022-10-17,0.9294
2022-10-18,0.9186
2022-10-19,0.9092
2022-10-20,0.9048
2022-10-21,0.9117
2022-10-22,0.9134
2022-10-23,0.9305
2022-10-24,0.9201
2022-10-25,0.9556
2022-10-26,0.9887
2022-10-27,0.9643
2022-10-28,0.9798
2022-10-29,0.9893
2022-10-30,0.9806
2022-10-31,0.9749
2022-11-01,0.9748
2022-11-02,0.9592
2022-11-03,0.9617
2022-11-04,1.006
2022-11-05,1.012
2022-11-06,0.9962
2022-11-07,0.9806
2022-11-08,0.8846
2022-11-09,0.7559
2022-11-10,0.8424
2022-11-11,0.8137
2022-11-12,0.8088
2022-11-13,0.7876
2022-11-14,0.8039
2022-11-15,0.8163
2022-11-16,0.8086
2022-11-17,0.8128
2022-11-18,0.8209
2022-11-19,0.8231
2022-11-20,0.8015
2022-11-21,0.7798
2022-11-22,0.8004
