date,nvt
2022-06-08,10.02
2022-06-09,11.59
2022-06-10,7.8
2022-06-11,8.51
2022-06-12,7.74
2022-06-13,2.25
2022-06-14,1.39
2022-06-15,1.14
2022-06-16,1.35
2022-06-17,1.61
2022-06-18,1.77
2022-06-19,4.04
2022-06-20,4.36
2022-06-21,4.48
2022-06-22,5.79
2022-06-23,6.68
2022-06-24,5.25
2022-06-25,10.92
2022-06-26,13.7
2022-06-27,6.33
2022-06-28,4.7
2022-06-29,4.12
2022-06-30,4.18
2022-07-01,3.77
2022-07-02,5.75
2022-07-03,5.76
2022-07-04,5.4
2022-07-05,5.28
2022-07-06,5.77
2022-07-07,7.49
2022-07-08,5.07
2022-07-09,7.93
2022-07-10,10.49
2022-07-11,4.03
2022-07-12,4.06
2022-07-13,3.7
2022-07-14,6.11
2022-07-15,5.29
2022-07-16,7.09
2022-07-17,10.98
2022-07-18,5.9
2022-07-19,5.94
2022-07-20,7.32
2022-07-21,5.13
2022-07-22,5.8
2022-07-23,7.19
2022-07-24,11.2
2022-07-25,4.95
2022-07-26,3.71
2022-07-27,5.39
2022-07-28,6.12
2022-07-29,5.56
2022-07-30,10.39
2022-07-31,11.99
2022-08-01,5.56
2022-08-02,4.97
2022-08-03,4.32
2022-08-04,5.12
2022-08-05,4.37
2022-08-06,7.96
2022-08-07,15.42
2022-08-08,3.45
2022-08-09,4.74
2022-08-10,4.13
2022-08-11,4.92
2022-08-12,7.62
2022-08-13,10.8
2022-08-14,15.4
2022-08-15,5.53
2022-08-16,5.79
2022-08-17,5.42
2022-08-18,7.66
2022-08-19,4.07
2022-08-20,4.49
2022-08-21,8.61
2022-08-22,3.75
2022-08-23,3.71
2022-08-24,5.28
2022-08-25,5.87
2022-08-26,6.34
2022-08-27,6.35
2022-08-28,10.39
2022-08-29,5.23
2022-08-30,5.48
2022-08-31,4.48
2022-09-01,4.61
2022-09-02,4.86
2022-09-03,9.7
2022-09-04,7.68
2022-09-05,4.39
2022-09-06,2.87
2022-09-07,3.37
2022-09-08,3.89
2022-09-09,4.76
2022-09-10,8.32
2022-09-11,14.79
2022-09-12,7.98
2022-09-13,6.4
2022-09-14,4.19
2022-09-15,4.64
2022-09-16,6.17
2022-09-17,10.38
2022-09-18,9.58
2022-09-19,4.06
2022-09-20,4.2
2022-09-21,4.0
2022-09-22,5.65
2022-09-23,6.78
2022-09-24,12.08
2022-09-25,10.52
2022-09-26,6.36
2022-09-27,6.64
2022-09-28,5.99
2022-09-29,6.98
2022-09-30,7.36
2022-10-01,13.22
2022-10-02,15.88
2022-10-03,8.03
2022-10-04,7.9
2022-10-05,8.96
2022-10-06,11.07
2022-10-07,10.7
2022-10-08,13.16
2022-10-09,12.67
2022-10-10,8.21
2022-10-11,7.22
2022-10-12,8.08
2022-10-13,7.14
2022-10-14,9.54
2022-10-15,21.31
2022-10-16,23.07
2022-10-17,12.63
2022-10-18,8.48
2022-10-19,8.15
2022-10-20,10.74
2022-10-21,10.36
2022-10-22,15.25
2022-10-23,15.02
2022-10-24,10.4
2022-10-25,10.33
2022-10-26,7.53
2022-10-27,7.12
2022-10-28,10.64
2022-10-29,10.41
2022-10-30,14.45
2022-10-31,9.14
2022-11-01,9.08
2022-11-02,7.72
2022-11-03,5.59
2022-11-04,5.32
2022-11-05,10.03
2022-11-06,4.85
2022-11-07,4.85
2022-11-08,8.65
2022-11-09,4.77
2022-11-10,5.07
2022-11-11,4.7
2022-11-12,7.65
2022-11-13,5.61
2022-11-14,6.12
2022-11-15,7.13
2022-11-16,8.74
2022-11-17,12.01
2022-11-18,10.67
2022-11-19,16.25
2022-11-20,11.56
2022-11-21,10.85
2022-11-22,12.78
2022-11-23,15.27
2022-11-24,20.7
2022-11-25,12.69
2022-11-26,24.07
2022-11-27,27.57
2022-11-28,19.48
2022-11-29,20.43
2022-11-30,22.51
2022-12-01,21.49
2022-12-02,23.79
2022-12-03,27.85
2022-12-04,34.44
2022-12-05,20.62
2022-12-06,24.0
2022-12-07,21.48
2022-12-08,20.76
2022-12-09,21.76
2022-12-10,28.46
2022-12-11,30.47
2022-12-12,22.4
2022-12-13,15.48
2022-12-14,13.96
2022-12-15,18.38
2022-12-16,16.74
2022-12-17,24.55
2022-12-18,27.24
2022-12-19,18.1
2022-12-20,19.53
2022-12-21,22.27
2022-12-22,23.52
2022-12-23,21.71
2022-12-24,31.81
2022-12-25,33.53
2022-12-26,29.32
2022-12-27,25.86
2022-12-28,21.95
2022-12-29,22.22
2022-12-30,21.82
2022-12-31,30.71
2023-01-01,34.74
2023-01-02,28.04
2023-01-03,23.3
2023-01-04,22.1
2023-01-05,21.9
2023-01-06,19.49
2023-01-07,25.84
2023-01-08,27.32
2023-01-09,18.24
2023-01-10,19.92
2023-01-11,23.0
2023-01-12,18.23
2023-01-13,18.5
2023-01-14,21.01
2023-01-15,25.74
2023-01-16,23.42
2023-01-17,19.1
2023-01-18,21.0
2023-01-19,23.93
2023-01-20,24.75
2023-01-21,22.85
2023-01-22,29.57
2023-01-23,22.81
2023-01-24,25.07
2023-01-25,23.13
2023-01-26,24.55
2023-01-27,24.51
2023-01-28,37.32
2023-01-29,34.07
2023-01-30,20.5
2023-01-31,21.39
2023-02-01,21.68
2023-02-02,24.51
2023-02-03,23.78
2023-02-04,37.96
2023-02-05,35.36
2023-02-06,28.56
2023-02-07,30.94
2023-02-08,29.1
2023-02-09,22.55
2023-02-10,13.88
2023-02-11,23.59
2023-02-12,27.1
2023-02-13,22.23
2023-02-14,25.57
2023-02-15,25.2
2023-02-16,18.29
2023-02-17,21.23
2023-02-18,31.89
2023-02-19,38.19
2023-02-20,27.84
2023-02-21,22.91
2023-02-22,23.93
2023-02-23,22.83
2023-02-24,22.3
2023-02-25,34.05
