https://www.CryptoDataDownload.com
Date,Total Supply,Marketcap
2025-07-15,19892940.625,2342771724466.0
2025-07-14,19892428.125,2384684391197.0
2025-07-13,19891975.0,2369830441625.0
2025-07-12,19891546.875,2336540662125.0
2025-07-11,19891081.25,2338773442294.0
2025-07-10,19890612.5,2307927658988.0
2025-07-09,19890078.125,2213507124297.0
2025-07-08,19889565.625,2166908506147.0
2025-07-07,19889121.875,2153733340479.0
2025-07-06,19888650.0,2172496905450.0
2025-07-05,19888150.0,2152693356000.0
2025-07-04,19887659.375,2148523505260.0
2025-07-03,19887162.5,2180587593800.0
2025-07-02,19886690.625,2165362308704.0
2025-07-01,19886212.5,2102151637163.0
2025-06-30,19885793.75,2131339488332.0
2025-06-29,19885340.625,2155252758300.0
2025-06-28,19884812.5,2134594852250.0
2025-06-27,19884359.375,2129614889063.0
2025-06-26,19884000.0,2127667536000.0
2025-06-25,19883509.375,2135846810044.0
2025-06-24,19883062.5,2110209306188.0
2025-06-23,19882696.875,2096908743225.0
2025-06-22,19882362.5,2008416847938.0
2025-06-21,19882028.125,2030730470660.0
2025-06-20,19881587.5,2054086094150.0
2025-06-19,19881115.625,2081314232550.0
2025-06-18,19880718.75,2085924772688.0
2025-06-17,19880281.25,2079159334250.0
2025-06-16,19879912.5,2123751172463.0
2025-06-15,19879456.25,2099608530757.0
2025-06-14,19879031.25,2096522151750.0
2025-06-13,19878559.375,2109472963757.0
2025-06-12,19878106.25,2101732051919.0
2025-06-11,19877643.75,2160262567463.0
2025-06-10,19877203.125,2192296487063.0
2025-06-09,19876675.0,2192536389225.0
2025-06-08,19876237.5,2102746917600.0
2025-06-07,19875759.375,2099257829429.0
2025-06-06,19875312.5,2074843497813.0
2025-06-05,19874893.75,2018474334357.0
2025-06-04,19874475.0,2081751883875.0
2025-06-03,19874081.25,2095801364138.0
2025-06-02,19873631.25,2104716917532.0
2025-06-01,19873215.625,2100698257641.0
2025-05-31,19872800.0,2079609028800.0
2025-05-30,19872296.875,2067394533094.0
2025-05-29,19871812.5,2098026220125.0
