,unix,date,symbol,open,high,low,close,volume,volume_from,marketorder_volume,marketorder_volume_from,tradecount
0,1753228800000,2025-07-23,BTCUSDT,119954.43,120090.0,117301.0,118755.99,14558.75083,1722126986.886661,7070.08701,836266328.744683,2101404
1,1753142400000,2025-07-22,BTCUSDT,117380.36,120247.8,116128.0,119954.42,20959.12973,2481252763.6519103,10811.45507,1280627214.6285224,2778733
2,1752537600000,2025-07-15,BTCUSDT,119841.17,119940.83,115736.92,117758.09,32018.46083,3755258445.5532722,15667.30508,1837578524.9238648,3805374
3,1752451200000,2025-07-14,BTCUSDT,119086.65,123218.0,118905.18,119841.18,27269.348877,3299746181.077073,14099.580747,1705505292.664724,4076133
4,1752364800000,2025-07-13,BTCUSDT,117420.0,119488.0,117224.79,119086.64,9550.792947,1132096857.0116916,4766.474307,565024389.3723919,1650283
5,1752278400000,2025-07-12,BTCUSDT,117527.66,118200.0,116900.05,117420.0,8446.60437,993093353.4068904,3784.55219,444996040.90597874,1441851
6,1752192000000,2025-07-11,BTCUSDT,116010.01,118869.98,115222.22,117527.66,25873.521148,3039521803.027247,12502.931168,1468374333.9502125,3708194
7,1752105600000,2025-07-10,BTCUSDT,111234.0,116868.0,110500.0,116010.0,24883.450665,2826460280.445224,12900.135467,1465777460.9410756,3227017
8,1752019200000,2025-07-09,BTCUSDT,108922.99,111999.79,108324.53,111233.99,17282.2865,1902054744.194924,8935.70327,983405508.7482138,2328484
9,1751932800000,2025-07-08,BTCUSDT,108262.94,109216.56,107429.57,108922.98,9216.0208,1000112813.4398944,4371.98866,474674358.9974899,1723244
10,1751846400000,2025-07-07,BTCUSDT,109203.85,109700.0,107513.2,108262.94,9405.37601,1020848316.0537041,3920.92229,425664101.8022387,1961940
11,1751760000000,2025-07-06,BTCUSDT,108198.12,109700.0,107800.01,109203.84,6447.607,700733299.51122,3209.35902,348780644.233174,1256591
12,1751673600000,2025-07-05,BTCUSDT,107984.25,108420.56,107756.31,108198.12,3736.9757,403928702.1967476,1803.68528,194976807.36330113,710020
13,1751587200000,2025-07-04,BTCUSDT,109584.77,109767.59,107245.0,107984.24,11793.86615,1276215111.668365,4787.79822,518313226.966756,1975212
14,1751500800000,2025-07-03,BTCUSDT,108849.59,110529.18,108530.4,109584.78,13047.08225,1429459048.6383262,6961.89686,763022147.911677,2568944
15,1751414400000,2025-07-02,BTCUSDT,105681.13,109730.0,105100.19,108849.6,17691.89592,1915699005.8772895,9248.43029,1002261738.2088752,2444708
16,1751328000000,2025-07-01,BTCUSDT,107146.51,107540.0,105250.85,105681.14,10505.62437,1117432945.8926365,4648.91727,494549276.18377846,2013289
