,date,symbol,average_usd_size,number_buys,number_sells,vwap,sell_total_volume,buy_total_volume,largest_trans_buy,largest_trans_sell,largest_trans_buy_usd,largest_trans_sell_usd,dollar_trans_size_usd_stdev
0,2024-12-31,BTCUSDT,551.32,1579770,1768077,94187.25,9924.07,9687.97,11.97,10.62,1121393.41,998826.93,4007.56
1,2024-12-30,BTCUSDT,462.75,2754675,2805888,93175.82,14527.23,13092.2,9.02,16.49,838934.4,1516974.2,4096.25
2,2024-12-29,BTCUSDT,446.07,1412977,1452861,94172.03,7924.62,5651.39,10.55,57.96,988068.37,5459649.25,6433.41
3,2024-12-28,BTCUSDT,290.86,1419578,1312483,94781.37,4182.29,4203.6,4.76,6.8,453472.82,647650.37,2570.48
4,2024-12-27,BTCUSDT,442.14,2932918,2785948,95463.3,13555.75,12945.52,11.25,9.21,1058901.98,863180.05,3861.88
5,2024-12-26,BTCUSDT,393.8,2649600,2553890,96643.93,11120.49,10071.87,11.31,10.67,1099615.82,1030072.84,3630.67
6,2024-12-25,BTCUSDT,434.4,1797717,1485311,98549.31,7467.64,7006.53,7.82,7.11,774990.82,706191.05,3440.02
7,2024-12-24,BTCUSDT,668.47,1968315,1453234,96722.47,11704.97,11969.25,7.64,10.04,715461.47,994107.3,4333.01
8,2024-12-23,BTCUSDT,567.26,2908058,2556861,94492.4,16471.18,16339.58,10.08,10.0,968244.98,929360.0,3978.38
9,2024-12-22,BTCUSDT,511.3,1817750,1815801,95941.08,10060.43,9293.4,13.38,9.42,1289365.43,894923.75,3837.54
10,2024-12-21,BTCUSDT,617.66,1837704,1879934,97769.19,11756.6,11726.94,12.07,11.14,1182718.45,1099718.51,4648.52
11,2024-12-20,BTCUSDT,810.72,3656860,3772147,95817.58,33420.91,29463.23,10.97,43.31,1020427.62,4192843.6,5453.83
12,2024-12-19,BTCUSDT,754.41,3719367,3554574,99519.65,28248.76,26898.64,18.0,20.0,1841400.0,1924000.0,5379.4
13,2024-12-18,BTCUSDT,592.81,4456814,4305306,103259.93,26999.62,23308.38,14.62,62.35,1551420.0,6500868.51,5750.43
14,2024-12-17,BTCUSDT,430.32,3752733,3460066,106763.33,14877.62,14187.32,14.75,10.0,1574693.37,1066169.1,4124.0
15,2024-12-16,BTCUSDT,542.36,4303067,3744987,105681.53,20953.3,20349.1,10.13,12.62,1065800.14,1344264.3,4072.84
16,2024-12-15,BTCUSDT,629.45,1926523,1712286,103064.78,9560.03,12668.89,17.44,13.48,1815294.72,1384679.28,5130.45
17,2024-12-14,BTCUSDT,427.2,1630781,1743757,101550.29,7401.46,6790.25,6.54,10.64,667056.54,1075974.95,3581.88
18,2024-12-13,BTCUSDT,402.05,2731727,2749933,100598.2,11234.95,10669.09,39.61,11.23,4010708.92,1131736.15,4572.03
19,2024-12-12,BTCUSDT,365.65,4044244,4022078,100904.85,15056.2,14175.89,9.88,14.94,995358.07,1484633.74,3462.63
20,2024-12-11,BTCUSDT,454.0,4386620,3863891,99259.01,18640.94,19112.85,35.01,11.84,3501027.0,1193950.8,4490.81
21,2024-12-10,BTCUSDT,431.69,6097743,5458446,96474.35,27185.59,24523.1,30.0,61.56,2911500.0,5848301.65,5478.34
22,2024-12-09,BTCUSDT,625.59,4222501,4223371,97942.1,28477.03,25472.08,14.22,29.88,1377623.16,2959999.3,4897.01
23,2024-12-08,BTCUSDT,487.39,1445738,1548971,99911.63,7460.2,7152.8,5.13,9.26,512965.99,935048.27,3570.97
24,2024-12-07,BTCUSDT,564.78,1270398,1364168,99630.09,8155.4,6776.55,7.39,11.56,737950.14,1154999.21,3765.0
25,2024-12-06,BTCUSDT,644.11,3487584,3431518,98953.83,23049.91,21999.62,48.85,27.1,4794963.17,2654837.78,5185.13
26,2024-12-05,BTCUSDT,919.72,6237502,5774862,100567.73,53686.65,56235.08,30.41,27.28,3098740.28,2790348.1,6569.59
27,2024-12-04,BTCUSDT,638.02,3299294,3349430,96806.55,21816.94,22033.6,15.75,15.0,1521788.92,1442663.45,5306.66
28,2024-12-03,BTCUSDT,636.74,2680557,2681155,95265.5,18488.21,17339.11,15.75,11.51,1504755.0,1103088.14,4925.86
29,2024-12-02,BTCUSDT,482.35,3670527,3889576,96072.67,19136.74,18821.93,15.04,10.45,1467594.22,999999.36,4249.16
30,2024-12-01,BTCUSDT,491.09,1659726,1682474,96933.24,8823.71,8114.9,14.74,8.16,1433160.54,790003.76,4079.84
31,2024-11-30,BTCUSDT,418.11,1468731,1886028,96678.38,7427.92,7075.92,9.18,5.86,887291.16,568173.1,3331.56
32,2024-11-29,BTCUSDT,528.15,2466088,2627982,97125.91,13861.57,13840.21,19.87,7.48,1947260.98,716099.89,3969.55
33,2024-11-28,BTCUSDT,551.28,2530914,2457247,95390.31,14008.85,14805.69,30.0,12.06,2854500.0,1147038.96,4772.56
34,2024-11-27,BTCUSDT,585.73,3401960,3246730,94669.65,20836.84,20316.58,12.24,11.19,1167495.54,1076806.91,4688.42
35,2024-11-26,BTCUSDT,525.23,5204051,5021758,92839.94,28738.46,29120.27,13.35,19.97,1220670.92,1837216.4,4074.18
36,2024-11-25,BTCUSDT,589.1,4019181,4270510,96050.89,27360.52,23486.93,12.38,18.57,1190475.0,1819566.98,4837.77
37,2024-11-24,BTCUSDT,611.15,2245437,2719283,97266.82,16076.86,15124.12,44.53,30.0,4379866.77,2898600.0,5697.72
38,2024-11-23,BTCUSDT,633.37,1671382,2167756,98181.61,13581.59,11176.25,13.43,20.0,1322142.15,1968300.0,5069.97
39,2024-11-22,BTCUSDT,626.51,3767045,3504266,98618.2,23479.64,22709.67,38.02,11.3,3782605.83,1121452.55,5554.34
40,2024-11-21,BTCUSDT,742.97,4727186,4321419,97126.32,33804.3,35424.06,60.0,28.44,5802000.0,2745777.34,6042.97
41,2024-11-20,BTCUSDT,536.38,3575265,3790722,93638.88,21777.89,20425.31,20.0,15.39,1866580.0,1446245.46,4906.17
42,2024-11-19,BTCUSDT,712.69,2855416,2792373,92184.09,21532.19,22127.85,28.0,12.43,2598251.43,1143297.0,5627.71
43,2024-11-18,BTCUSDT,592.07,3539573,3621552,91080.03,22916.16,23628.87,22.18,16.67,2007277.08,1520160.82,4560.77
44,2024-11-17,BTCUSDT,436.83,2536850,2393869,90242.29,12014.77,11852.78,9.94,11.61,897011.25,1047593.62,3467.78
45,2024-11-16,BTCUSDT,487.79,2106800,2132655,91073.91,11221.56,11496.31,7.59,23.45,692792.24,2145703.32,3687.43
46,2024-11-15,BTCUSDT,533.92,4310343,3698768,89234.29,23127.34,24800.61,28.58,11.27,2566128.39,1001972.93,3975.11
47,2024-11-14,BTCUSDT,516.22,5096346,4732512,89423.94,28788.65,27940.86,16.01,14.04,1399020.54,1282915.99,4100.2
48,2024-11-13,BTCUSDT,651.3,6111848,5850252,89782.03,42421.52,44342.33,27.68,41.4,2480390.53,3709415.81,5015.16
49,2024-11-12,BTCUSDT,742.68,6002927,5496131,87789.46,47710.55,49589.33,58.09,20.0,5149965.73,1784159.8,5474.8
50,2024-11-11,BTCUSDT,742.79,5044994,4303896,84483.46,39486.37,42837.3,45.2,34.93,3797994.66,2841206.62,5747.94
51,2024-11-10,BTCUSDT,688.14,3814386,3314212,79329.69,29079.09,32751.01,44.76,35.76,3423837.83,2860471.2,6635.66
52,2024-11-09,BTCUSDT,500.8,1249665,1335599,76363.89,8909.29,8032.79,15.06,12.86,1150549.62,979879.88,4324.15
53,2024-11-08,BTCUSDT,570.88,2475147,2402342,76224.39,18965.71,17555.39,20.33,15.32,1549197.86,1162854.03,4674.67
54,2024-11-07,BTCUSDT,651.3,2503665,2704057,75609.58,23063.96,21805.46,17.63,16.37,1348713.36,1254188.65,5505.52
55,2024-11-06,BTCUSDT,913.22,4370385,4063799,73999.51,50883.11,53243.88,50.0,25.31,3660000.0,1885274.11,6466.27
56,2024-11-05,BTCUSDT,466.22,2597533,2358111,69277.97,16295.18,17059.89,17.44,15.0,1219600.47,1035000.0,3806.37
57,2024-11-04,BTCUSDT,378.26,2775863,2601185,68260.97,14873.15,14927.24,18.64,19.63,1286498.79,1323758.86,3220.45
58,2024-11-03,BTCUSDT,466.1,1901727,1766302,68373.46,12718.12,12277.58,12.4,14.94,857986.17,1015877.31,3718.02
59,2024-11-02,BTCUSDT,456.01,776250,827311,69503.83,5294.17,5227.51,12.08,12.44,839679.05,863129.02,3921.64
