date,contract,contract_group,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All
2020-12-29,BITCOIN,BITCOIN,11370.0,504.0,628.0,0.0,620.0,32.0,8.0,3662.0,8503.0,661.0,2130.0,244.0,504.0,8089.0,10580.0,3281.0,790.0,-2997.0,-21.0,10.0,0.0,47.0,2.0,-2.0,-506.0,-1720.0,-1181.0,-299.0,177.0,-306.0,-2268.0,-3020.0,-729.0,23.0,4.4,5.5,0.0,5.5,0.3,0.1,32.2,74.8,5.8,18.7,2.1,4.4,71.1,93.1,28.9,6.9,89.0,0.0,0.0,0.0,4.0,0.0,0.0,36.0,12.0,11.0,27.0,5.0,7.0,76.0,32.0
2020-12-21,BITCOIN,BITCOIN,14367.0,525.0,618.0,0.0,573.0,30.0,10.0,4168.0,10223.0,1842.0,2429.0,67.0,810.0,10357.0,13600.0,4010.0,767.0,1735.0,88.0,0.0,0.0,81.0,4.0,-4.0,80.0,1319.0,304.0,391.0,20.0,37.0,977.0,1680.0,758.0,55.0,3.7,4.3,0.0,4.0,0.2,0.1,29.0,71.2,12.8,16.9,0.5,5.6,72.1,94.7,27.9,5.3,104.0,0.0,0.0,0.0,5.0,0.0,0.0,39.0,17.0,14.0,35.0,0.0,11.0,92.0,38.0
2020-12-15,BITCOIN,BITCOIN,12632.0,437.0,618.0,0.0,492.0,26.0,14.0,4088.0,8904.0,1538.0,2038.0,47.0,773.0,9380.0,11920.0,3252.0,712.0,-185.0,121.0,-25.0,0.0,-52.0,15.0,-5.0,-386.0,-611.0,274.0,-25.0,-95.0,135.0,61.0,-312.0,-246.0,127.0,3.5,4.9,0.0,3.9,0.2,0.1,32.4,70.5,12.2,16.1,0.4,6.1,74.3,94.4,25.7,5.6,101.0,0.0,0.0,0.0,5.0,0.0,0.0,41.0,17.0,15.0,29.0,4.0,8.0,87.0,38.0
2020-12-08,BITCOIN,BITCOIN,12817.0,316.0,643.0,0.0,544.0,11.0,19.0,4474.0,9515.0,1264.0,2063.0,142.0,638.0,9319.0,12232.0,3498.0,585.0,-39.0,288.0,0.0,0.0,-82.0,11.0,19.0,-166.0,-33.0,175.0,-382.0,-290.0,21.0,-127.0,-97.0,88.0,58.0,2.5,5.0,0.0,4.2,0.1,0.1,34.9,74.2,9.9,16.1,1.1,5.0,72.7,95.4,27.3,4.6,105.0,0.0,0.0,0.0,5.0,0.0,0.0,38.0,18.0,14.0,32.0,7.0,10.0,87.0,43.0
2020-12-01,BITCOIN,BITCOIN,12856.0,28.0,643.0,0.0,626.0,0.0,0.0,4640.0,9548.0,1090.0,2445.0,432.0,618.0,9446.0,12330.0,3410.0,526.0,-1116.0,28.0,0.0,0.0,-42.0,0.0,0.0,-999.0,-551.0,-518.0,55.0,153.0,173.0,-1303.0,-742.0,187.0,-374.0,0.2,5.0,0.0,4.9,0.0,0.0,36.1,74.3,8.5,19.0,3.4,4.8,73.5,95.9,26.5,4.1,112.0,0.0,0.0,0.0,6.0,0.0,0.0,37.0,22.0,14.0,37.0,7.0,9.0,94.0,41.0
2020-11-24,BITCOIN,BITCOIN,13972.0,0.0,643.0,0.0,668.0,0.0,0.0,5639.0,10099.0,1608.0,2390.0,279.0,444.0,10749.0,13072.0,3223.0,900.0,892.0,0.0,-89.0,0.0,-177.0,-4.0,-26.0,172.0,1803.0,204.0,446.0,-1355.0,255.0,873.0,788.0,19.0,104.0,0.0,4.6,0.0,4.8,0.0,0.0,40.4,72.3,11.5,17.1,2.0,3.2,76.9,93.6,23.1,6.4,110.0,0.0,0.0,0.0,5.0,0.0,0.0,42.0,20.0,12.0,36.0,6.0,9.0,92.0,39.0
2020-11-17,BITCOIN,BITCOIN,13080.0,0.0,732.0,0.0,845.0,4.0,26.0,5467.0,8295.0,1404.0,1944.0,1633.0,190.0,9876.0,12285.0,3204.0,795.0,501.0,0.0,0.0,0.0,13.0,-3.0,-7.0,231.0,262.0,269.0,-311.0,-160.0,-16.0,179.0,345.0,322.0,156.0,0.0,5.6,0.0,6.5,0.0,0.2,41.8,63.4,10.7,14.9,12.5,1.5,75.5,93.9,24.5,6.1,103.0,0.0,0.0,0.0,5.0,0.0,0.0,42.0,16.0,14.0,28.0,9.0,9.0,87.0,40.0
2020-11-10,BITCOIN,BITCOIN,12579.0,0.0,732.0,0.0,832.0,7.0,33.0,5236.0,8033.0,1135.0,2255.0,1794.0,206.0,9696.0,11940.0,2883.0,639.0,265.0,0.0,71.0,0.0,32.0,7.0,33.0,761.0,-86.0,206.0,-288.0,-221.0,79.0,824.0,89.0,-559.0,176.0,0.0,5.8,0.0,6.6,0.1,0.3,41.6,63.9,9.0,17.9,14.3,1.6,77.1,94.9,22.9,5.1,104.0,0.0,0.0,0.0,5.0,0.0,0.0,41.0,19.0,14.0,26.0,10.0,9.0,88.0,40.0
2020-11-03,BITCOIN,BITCOIN,12314.0,0.0,661.0,0.0,800.0,0.0,0.0,4474.0,8120.0,930.0,2543.0,2014.0,126.0,8873.0,11851.0,3441.0,463.0,-2331.0,0.0,376.0,0.0,30.0,0.0,0.0,-1413.0,-1381.0,-732.0,-21.0,-516.0,-24.0,-2161.0,-2278.0,-170.0,-53.0,0.0,5.4,0.0,6.5,0.0,0.0,36.3,65.9,7.5,20.6,16.4,1.0,72.1,96.2,27.9,3.8,101.0,0.0,0.0,0.0,6.0,0.0,0.0,33.0,21.0,11.0,29.0,10.0,9.0,82.0,39.0
2020-10-27,BITCOIN,BITCOIN,14645.0,0.0,285.0,0.0,770.0,0.0,0.0,5888.0,9501.0,1662.0,2564.0,2531.0,151.0,11034.0,14129.0,3611.0,516.0,2626.0,0.0,285.0,0.0,-104.0,0.0,0.0,1217.0,1600.0,466.0,632.0,246.0,-75.0,2136.0,2522.0,490.0,104.0,0.0,1.9,0.0,5.3,0.0,0.0,40.2,64.9,11.3,17.5,17.3,1.0,75.3,96.5,24.7,3.5,105.0,0.0,0.0,0.0,5.0,0.0,0.0,36.0,19.0,16.0,34.0,9.0,9.0,87.0,43.0
