,date,unix,symbol,open,high,low,close
0,2025-07-23,1753228800000,BTC,39.88,39.89,39.71,39.75
1,2025-07-22,1753142400000,BTC,39.28,39.88,38.04,39.88
2,2025-07-21,1753056000000,BTC,39.23,40.42,38.49,39.28
3,2025-07-20,1752969600000,BTC,38.85,39.89,38.63,39.23
4,2025-07-19,1752883200000,BTC,38.6,39.01,38.13,38.85
5,2025-07-18,1752796800000,BTC,39.47,40.7,37.63,38.6
6,2025-07-17,1752710400000,BTC,39.07,40.89,38.28,39.47
7,2025-07-16,1752624000000,BTC,39.93,40.96,37.98,39.07
8,2025-07-15,1752537600000,BTC,39.64,41.81,39.44,39.93
9,2025-07-14,1752451200000,BTC,39.24,40.64,38.79,39.64
10,2025-07-13,1752364800000,BTC,38.2,40.62,38.18,39.24
11,2025-07-12,1752278400000,BTC,37.94,38.43,37.18,38.2
12,2025-07-11,1752192000000,BTC,38.62,40.24,37.51,37.94
13,2025-07-10,1752105600000,BTC,38.77,40.21,37.98,38.62
14,2025-07-09,1752019200000,BTC,37.77,40.09,37.08,38.77
15,2025-07-08,1751932800000,BTC,38.71,39.04,37.67,37.77
16,2025-07-07,1751846400000,BTC,38.98,39.51,38.46,38.71
17,2025-07-06,1751760000000,BTC,38.54,39.0,38.24,38.98
18,2025-07-05,1751673600000,BTC,39.21,39.21,38.47,38.54
19,2025-07-04,1751587200000,BTC,39.08,39.63,36.79,39.21
20,2025-07-03,1751500800000,BTC,39.6,40.93,38.66,39.08
21,2025-07-02,1751414400000,BTC,37.61,40.44,37.48,39.6
22,2025-07-01,1751328000000,BTC,37.14,38.23,36.99,37.61
23,2025-06-30,1751241600000,BTC,39.34,39.34,37.69,37.74
24,2025-06-29,1751155200000,BTC,37.71,39.42,37.7,39.34
25,2025-06-28,1751068800000,BTC,38.1,38.16,36.79,37.71
26,2025-06-27,1750982400000,BTC,38.25,38.34,36.27,38.1
27,2025-06-26,1750896000000,BTC,38.4,39.32,37.71,38.25
28,2025-06-25,1750809600000,BTC,39.04,39.28,37.9,38.4
29,2025-06-24,1750723200000,BTC,39.87,41.2,39.0,39.05
30,2025-06-23,1750636800000,BTC,41.75,42.15,39.54,39.86
31,2025-06-22,1750550400000,BTC,41.01,44.63,40.42,41.75
32,2025-06-21,1750464000000,BTC,40.67,41.43,38.9,41.01
33,2025-06-20,1750377600000,BTC,40.21,41.53,39.03,40.67
34,2025-06-19,1750291200000,BTC,39.69,40.64,39.65,40.21
35,2025-06-18,1750204800000,BTC,41.62,41.7,39.6,39.69
36,2025-06-17,1750118400000,BTC,41.73,42.19,40.72,41.62
37,2025-06-16,1750032000000,BTC,42.32,42.32,40.28,41.73
38,2025-06-15,1749945600000,BTC,41.0,42.79,40.91,42.32
39,2025-06-14,1749859200000,BTC,40.72,41.31,40.46,41.0
40,2025-06-13,1749772800000,BTC,39.77,43.96,39.77,40.72
41,2025-06-12,1749686400000,BTC,40.95,41.4,39.57,39.77
42,2025-06-11,1749600000000,BTC,42.51,42.69,40.86,40.95
43,2025-06-10,1749513600000,BTC,41.89,42.8,41.65,42.51
44,2025-06-09,1749427200000,BTC,42.52,42.85,41.46,42.61
45,2025-06-08,1749340800000,BTC,41.99,42.64,41.54,42.52
46,2025-06-07,1749254400000,BTC,40.53,42.12,40.53,41.99
47,2025-06-06,1749168000000,BTC,42.76,42.89,40.52,40.53
48,2025-06-05,1749081600000,BTC,42.18,43.45,41.44,42.76
49,2025-06-04,1748995200000,BTC,42.83,43.08,41.83,42.18
50,2025-06-03,1748908800000,BTC,42.97,43.72,42.47,42.83
51,2025-06-02,1748822400000,BTC,45.13,45.22,42.38,42.97
52,2025-06-01,1748736000000,BTC,45.88,46.68,45.08,45.13
53,2025-05-31,1748649600000,BTC,43.72,46.61,42.94,45.88
54,2025-05-30,1748563200000,BTC,44.61,47.41,43.64,43.71
55,2025-05-29,1748476800000,BTC,45.24,45.24,43.54,44.61
56,2025-05-28,1748390400000,BTC,46.16,46.46,43.47,45.24
