,Unix,Date,Symbol,funding_interval_hours,last_funding_rate
0,1751299200002,2025-06-30T16:00:00,BTCUSDT,8,4.923e-05
1,1751270400005,2025-06-30T08:00:00,BTCUSDT,8,2.959e-05
2,1751241600000,2025-06-30T00:00:00,BTCUSDT,8,1.084e-05
3,1751212800001,2025-06-29T16:00:00,BTCUSDT,8,0.0001
4,1751184000001,2025-06-29T08:00:00,BTCUSDT,8,5.36e-05
5,1751155200004,2025-06-29T00:00:00,BTCUSDT,8,1.25e-05
6,1751126400000,2025-06-28T16:00:00,BTCUSDT,8,4.434e-05
7,1751097600002,2025-06-28T08:00:00,BTCUSDT,8,6.053e-05
8,1751068800001,2025-06-28T00:00:00,BTCUSDT,8,-1.161e-05
9,1751040000009,2025-06-27T16:00:00,BTCUSDT,8,2.557e-05
10,1751011200000,2025-06-27T08:00:00,BTCUSDT,8,2.663e-05
11,1750982400000,2025-06-27T00:00:00,BTCUSDT,8,1.113e-05
12,1750953600007,2025-06-26T16:00:00,BTCUSDT,8,6.82e-06
13,1750924800006,2025-06-26T08:00:00,BTCUSDT,8,3.805e-05
14,1750896000000,2025-06-26T00:00:00,BTCUSDT,8,1.41e-06
15,1750867200005,2025-06-25T16:00:00,BTCUSDT,8,9.62e-06
16,1750838400000,2025-06-25T08:00:00,BTCUSDT,8,2.747e-05
17,1750809600005,2025-06-25T00:00:00,BTCUSDT,8,-3.174e-05
18,1750780800000,2025-06-24T16:00:00,BTCUSDT,8,4.47e-06
19,1750752000000,2025-06-24T08:00:00,BTCUSDT,8,1.218e-05
20,1750723200003,2025-06-24T00:00:00,BTCUSDT,8,1.245e-05
21,1750694400013,2025-06-23T16:00:00,BTCUSDT,8,4.889e-05
22,1750665600004,2025-06-23T08:00:00,BTCUSDT,8,-2.809e-05
23,1750636800000,2025-06-23T00:00:00,BTCUSDT,8,-1.061e-05
24,1750608000003,2025-06-22T16:00:00,BTCUSDT,8,4.145e-05
25,1750579200000,2025-06-22T08:00:00,BTCUSDT,8,0.0001
26,1750550400005,2025-06-22T00:00:00,BTCUSDT,8,2.883e-05
27,1750521600000,2025-06-21T16:00:00,BTCUSDT,8,7.44e-05
28,1750492800005,2025-06-21T08:00:00,BTCUSDT,8,1.933e-05
29,1750464000002,2025-06-21T00:00:00,BTCUSDT,8,3.977e-05
30,1750435200001,2025-06-20T16:00:00,BTCUSDT,8,2.4e-05
31,1750406400002,2025-06-20T08:00:00,BTCUSDT,8,7.862e-05
32,1750377600000,2025-06-20T00:00:00,BTCUSDT,8,3.565e-05
33,1750348800000,2025-06-19T16:00:00,BTCUSDT,8,2.396e-05
34,1750320000003,2025-06-19T08:00:00,BTCUSDT,8,6.16e-06
35,1750291200005,2025-06-19T00:00:00,BTCUSDT,8,8.45e-06
36,1750262400001,2025-06-18T16:00:00,BTCUSDT,8,6.692e-05
37,1750233600001,2025-06-18T08:00:00,BTCUSDT,8,3.695e-05
38,1750204800001,2025-06-18T00:00:00,BTCUSDT,8,-1.752e-05
39,1750176000001,2025-06-17T16:00:00,BTCUSDT,8,2.211e-05
40,1750147200006,2025-06-17T08:00:00,BTCUSDT,8,5.776e-05
41,1750118400000,2025-06-17T00:00:00,BTCUSDT,8,1.847e-05
42,1750089600003,2025-06-16T16:00:00,BTCUSDT,8,2.793e-05
43,1750060800000,2025-06-16T08:00:00,BTCUSDT,8,5.07e-05
44,1750032000000,2025-06-16T00:00:00,BTCUSDT,8,9.36e-06
45,1750003200000,2025-06-15T16:00:00,BTCUSDT,8,7.369e-05
46,1749974400009,2025-06-15T08:00:00,BTCUSDT,8,1.439e-05
47,1749945600005,2025-06-15T00:00:00,BTCUSDT,8,-3.641e-05
48,1749916800000,2025-06-14T16:00:00,BTCUSDT,8,1.135e-05
49,1749888000000,2025-06-14T08:00:00,BTCUSDT,8,3.858e-05
50,1749859200000,2025-06-14T00:00:00,BTCUSDT,8,1.958e-05
51,1749830400004,2025-06-13T16:00:00,BTCUSDT,8,3.857e-05
52,1749801600001,2025-06-13T08:00:00,BTCUSDT,8,-2.7e-06
53,1749772800000,2025-06-13T00:00:00,BTCUSDT,8,-1.801e-05
54,1749744000001,2025-06-12T16:00:00,BTCUSDT,8,1.198e-05
55,1749715200003,2025-06-12T08:00:00,BTCUSDT,8,7.247e-05
56,1749686400002,2025-06-12T00:00:00,BTCUSDT,8,1.856e-05
57,1749657600010,2025-06-11T16:00:00,BTCUSDT,8,5.039e-05
58,1749628800000,2025-06-11T08:00:00,BTCUSDT,8,8.39e-05
59,1749600000000,2025-06-11T00:00:00,BTCUSDT,8,8.779e-05
60,1749571200003,2025-06-10T16:00:00,BTCUSDT,8,8.165e-05
61,1749542400001,2025-06-10T08:00:00,BTCUSDT,8,0.0001
62,1749513600000,2025-06-10T00:00:00,BTCUSDT,8,6.374e-05
63,1749484800001,2025-06-09T16:00:00,BTCUSDT,8,3.057e-05
64,1749456000001,2025-06-09T08:00:00,BTCUSDT,8,4.024e-05
65,1749427200000,2025-06-09T00:00:00,BTCUSDT,8,-2.164e-05
66,1749398400000,2025-06-08T16:00:00,BTCUSDT,8,-3.602e-05
67,1749369600000,2025-06-08T08:00:00,BTCUSDT,8,5.613e-05
68,1749340800000,2025-06-08T00:00:00,BTCUSDT,8,4.808e-05
69,1749312000002,2025-06-07T16:00:00,BTCUSDT,8,2.94e-06
70,1749283200000,2025-06-07T08:00:00,BTCUSDT,8,-3.158e-05
71,1749254400000,2025-06-07T00:00:00,BTCUSDT,8,-2.89e-05
72,1749225600006,2025-06-06T16:00:00,BTCUSDT,8,-2.995e-05
73,1749196800000,2025-06-06T08:00:00,BTCUSDT,8,-3.03e-05
74,1749168000002,2025-06-06T00:00:00,BTCUSDT,8,-3.491e-05
75,1749139200000,2025-06-05T16:00:00,BTCUSDT,8,5.156e-05
76,1749110400000,2025-06-05T08:00:00,BTCUSDT,8,2.871e-05
77,1749081600016,2025-06-05T00:00:00,BTCUSDT,8,7.4e-07
78,1749052800000,2025-06-04T16:00:00,BTCUSDT,8,9.62e-06
79,1749024000000,2025-06-04T08:00:00,BTCUSDT,8,2.611e-05
80,1748995200000,2025-06-04T00:00:00,BTCUSDT,8,-1.1e-07
81,1748966400001,2025-06-03T16:00:00,BTCUSDT,8,4.456e-05
82,1748937600000,2025-06-03T08:00:00,BTCUSDT,8,6.066e-05
83,1748908800000,2025-06-03T00:00:00,BTCUSDT,8,5.005e-05
84,1748880000000,2025-06-02T16:00:00,BTCUSDT,8,4.467e-05
85,1748851200000,2025-06-02T08:00:00,BTCUSDT,8,5.593e-05
86,1748822400001,2025-06-02T00:00:00,BTCUSDT,8,-6.42e-06
87,1748793600000,2025-06-01T16:00:00,BTCUSDT,8,4.117e-05
88,1748764800002,2025-06-01T08:00:00,BTCUSDT,8,2.335e-05
89,1748736000001,2025-06-01T00:00:00,BTCUSDT,8,-5.82e-06
90,1748707200000,2025-05-31T16:00:00,BTCUSDT,8,4.687e-05
91,1748678400000,2025-05-31T08:00:00,BTCUSDT,8,7.552e-05
92,1748649600000,2025-05-31T00:00:00,BTCUSDT,8,8.506e-05
93,1748620800000,2025-05-30T16:00:00,BTCUSDT,8,7.392e-05
