unix,date,symbol,open,high,low,close,volume,volume_from,marketorder_volume,marketorder_volume_from,tradecount
1532386800000,2018-07-23 23:00:00,BTCUSDT,7728.05,7734.83,7699.0,7721.01,1311.225462,10117696.03922384,694.060339,5356056.81131785,6789
1532383200000,2018-07-23 22:00:00,BTCUSDT,7762.03,7775.11,7720.0,7730.0,1337.205451,10366757.28803807,828.170685,6420601.5996089,6927
1532379600000,2018-07-23 21:00:00,BTCUSDT,7708.52,7766.0,7703.0,7762.03,936.093031,7245724.93997238,555.358019,4298550.04927132,6496
1532376000000,2018-07-23 20:00:00,BTCUSDT,7757.0,7780.0,7700.0,7708.06,1405.204205,10869476.47599382,723.014043,5594643.09461751,8315
1532372400000,2018-07-23 19:00:00,BTCUSDT,7742.73,7809.68,7731.0,7755.0,1721.614914,13372261.49573872,896.32185,6962253.72573452,9926
1532368800000,2018-07-23 18:00:00,BTCUSDT,7734.91,7833.0,7638.8,7743.8,4026.989751,31180334.95577553,2077.294295,16094221.3040312,20342
1532365200000,2018-07-23 17:00:00,BTCUSDT,7741.76,7758.0,7713.29,7734.92,1406.359629,10874990.46527709,823.387735,6367556.53130254,8697
1532361600000,2018-07-23 16:00:00,BTCUSDT,7731.5,7749.0,7698.02,7741.76,1522.946146,11769740.86360212,823.562053,6366357.42511838,9453
1532358000000,2018-07-23 15:00:00,BTCUSDT,7700.97,7752.0,7697.66,7733.74,1431.604492,11061471.49371712,817.187057,6313585.57537481,9044
1532354400000,2018-07-23 14:00:00,BTCUSDT,7719.16,7733.02,7687.59,7697.75,1230.483086,9487612.32374745,616.923815,4756643.27090637,7582
1532350800000,2018-07-23 13:00:00,BTCUSDT,7708.0,7732.25,7708.0,7719.17,1489.841259,11499449.85540225,888.274145,6856415.53971066,8189
1532347200000,2018-07-23 12:00:00,BTCUSDT,7695.0,7718.02,7671.0,7710.13,1453.017263,11177350.5916242,861.780358,6628944.39712321,7098
1532343600000,2018-07-23 11:00:00,BTCUSDT,7692.51,7718.0,7666.0,7695.0,1792.735997,13800072.86431325,919.085136,7075788.71431482,9534
1532340000000,2018-07-23 10:00:00,BTCUSDT,7719.09,7726.09,7666.0,7692.5,2002.222902,15421212.78106138,1126.982644,8681492.83845272,7598
1532336400000,2018-07-23 09:00:00,BTCUSDT,7721.63,7726.29,7668.89,7717.01,1656.113392,12755128.63597961,831.519233,6404904.42850178,9617
1532332800000,2018-07-23 08:00:00,BTCUSDT,7758.95,7763.87,7682.0,7721.64,2194.138659,16943218.47486554,1185.905259,9160024.30660093,13028
1532329200000,2018-07-23 07:00:00,BTCUSDT,7690.0,7790.0,7654.25,7758.94,2693.956037,20846312.71475197,1486.871273,11507833.82176615,14558
1532325600000,2018-07-23 06:00:00,BTCUSDT,7651.83,7710.0,7648.0,7690.0,1294.335437,9936678.33405906,760.133395,5836918.07642636,6698
1532322000000,2018-07-23 05:00:00,BTCUSDT,7673.79,7674.77,7630.0,7654.39,807.205664,6175816.52713677,370.451129,2834490.28818704,4747
1532318400000,2018-07-23 04:00:00,BTCUSDT,7623.0,7710.0,7623.0,7674.77,1705.720156,13083042.47190228,886.821418,6803852.83566432,9145
1532314800000,2018-07-23 03:00:00,BTCUSDT,7631.79,7649.0,7602.17,7623.0,983.708218,7502512.80171053,409.123426,3120765.98961732,5107
1532311200000,2018-07-23 02:00:00,BTCUSDT,7514.06,7670.0,7510.71,7647.0,4435.710633,33743322.96721909,2629.673964,20001760.44344027,19679
1532307600000,2018-07-23 01:00:00,BTCUSDT,7469.77,7514.06,7449.99,7514.06,1297.523582,9703393.57932853,720.357873,5386751.32057821,5045
1532304000000,2018-07-23 00:00:00,BTCUSDT,7394.78,7480.0,7375.0,7469.78,1510.391305,11222967.64196925,824.190782,6124998.64790057,6162
1532300400000,2018-07-22 23:00:00,BTCUSDT,7409.52,7419.43,7382.82,7394.79,984.159319,7285183.07379431,630.770773,4670003.73399068,3717
1532296800000,2018-07-22 22:00:00,BTCUSDT,7371.01,7433.47,7335.5,7407.46,1395.463402,10307741.22084501,720.313305,5323320.50441889,7544
1532293200000,2018-07-22 21:00:00,BTCUSDT,7539.11,7582.4,7342.63,7371.01,3567.26514,26518860.79031593,1505.180321,11194622.50173641,19275
1532289600000,2018-07-22 20:00:00,BTCUSDT,7528.04,7552.0,7523.22,7536.02,830.849254,6262044.66628309,477.282748,3597598.62213207,4405
1532286000000,2018-07-22 19:00:00,BTCUSDT,7520.01,7536.0,7515.2,7528.05,1137.715835,8562899.34502785,763.730532,5748124.02438441,3866
1532282400000,2018-07-22 18:00:00,BTCUSDT,7505.7,7536.18,7500.25,7520.29,1063.716158,8000366.86835375,616.390996,4635393.23031819,4420
1532278800000,2018-07-22 17:00:00,BTCUSDT,7510.63,7525.0,7484.4,7502.0,1610.44032,12080456.03115814,982.176434,7368672.22518457,5551
1532275200000,2018-07-22 16:00:00,BTCUSDT,7527.99,7539.9,7486.4,7519.51,1181.256851,8883422.1612569,710.100902,5341138.99751949,7514
1532271600000,2018-07-22 15:00:00,BTCUSDT,7500.0,7555.0,7489.08,7527.38,2227.926158,16758788.35821284,1119.757237,8423545.85646837,12268
1532268000000,2018-07-22 14:00:00,BTCUSDT,7464.69,7522.0,7455.0,7500.01,1738.930158,13012698.44671746,969.695472,7256032.47419561,9447
1532264400000,2018-07-22 13:00:00,BTCUSDT,7439.99,7485.78,7429.92,7464.71,1069.832256,7974557.97891038,537.328585,4006553.77765439,5325
1532260800000,2018-07-22 12:00:00,BTCUSDT,7446.0,7463.0,7434.95,7439.99,869.907851,6475870.04965684,643.788393,4793046.96270068,3680
1532257200000,2018-07-22 11:00:00,BTCUSDT,7454.64,7469.99,7440.1,7445.02,913.227137,6808188.27699194,540.161351,4027482.73177974,3811
1532253600000,2018-07-22 10:00:00,BTCUSDT,7436.51,7466.0,7426.53,7454.64,943.724884,7031669.15287183,648.125784,4829285.92386247,4328
1532250000000,2018-07-22 09:00:00,BTCUSDT,7443.44,7460.0,7427.76,7436.5,1114.60527,8293791.74180308,654.449682,4870724.90420929,4584
1532246400000,2018-07-22 08:00:00,BTCUSDT,7395.03,7460.0,7392.8,7443.58,1251.583432,9303036.73676241,724.290519,5383801.1614215,6131
1532242800000,2018-07-22 07:00:00,BTCUSDT,7399.99,7403.69,7376.61,7395.03,848.84894,6272742.36389301,555.048412,4101325.15517256,3469
1532239200000,2018-07-22 06:00:00,BTCUSDT,7413.69,7415.0,7370.1,7399.99,1140.246133,8426201.18890263,618.069931,4567528.48983684,4905
1532235600000,2018-07-22 05:00:00,BTCUSDT,7397.21,7419.11,7380.0,7412.43,521.992495,3862502.02209624,345.02166,2553026.78005409,3419
1532232000000,2018-07-22 04:00:00,BTCUSDT,7422.93,7422.93,7375.5,7397.21,1186.097173,8778842.49791981,643.484004,4763419.56503163,4894
1532228400000,2018-07-22 03:00:00,BTCUSDT,7426.57,7433.33,7404.0,7422.93,906.981552,6729835.18270038,503.800587,3738372.84184742,4390
1532224800000,2018-07-22 02:00:00,BTCUSDT,7483.63,7487.49,7422.0,7425.78,1259.087153,9379559.51209463,853.710637,6359731.34709134,4897
1532221200000,2018-07-22 01:00:00,BTCUSDT,7444.0,7484.23,7430.0,7484.0,1304.230127,9715091.68090037,696.351309,5187771.55747295,5754
1532217600000,2018-07-22 00:00:00,BTCUSDT,7399.25,7444.99,7339.0,7443.99,1202.131442,8894885.48997324,627.728718,4650027.35075204,7117
1532214000000,2018-07-21 23:00:00,BTCUSDT,7425.04,7429.63,7398.77,7398.78,725.788111,5381969.48085869,377.326706,2798138.47983054,4839
1532210400000,2018-07-21 22:00:00,BTCUSDT,7404.99,7428.99,7401.0,7425.02,687.786676,5100790.14727381,359.111102,2662567.06568278,4620
1532206800000,2018-07-21 21:00:00,BTCUSDT,7417.91,7430.0,7396.08,7404.99,1102.642105,8178770.5629299,737.910102,5473588.68061796,5148
1532203200000,2018-07-21 20:00:00,BTCUSDT,7422.92,7458.47,7410.97,7417.91,1063.090177,7897754.31056624,689.833041,5125253.70440428,6109
1532199600000,2018-07-21 19:00:00,BTCUSDT,7433.78,7447.0,7390.13,7422.92,1092.36509,8107664.6007275,653.550449,4851344.56761494,7154
1532196000000,2018-07-21 18:00:00,BTCUSDT,7412.75,7442.12,7411.01,7433.77,1132.392239,8409624.54917131,717.105257,5325943.65177428,6803
1532192400000,2018-07-21 17:00:00,BTCUSDT,7400.0,7430.0,7379.13,7414.49,1399.240248,10367323.6669284,842.512612,6243626.77827589,6626
1532188800000,2018-07-21 16:00:00,BTCUSDT,7394.87,7433.73,7380.01,7398.0,1203.320239,8910378.56190722,680.113827,5036443.76464017,8894
1532185200000,2018-07-21 15:00:00,BTCUSDT,7356.24,7419.54,7350.0,7391.63,1381.161147,10203279.83370626,782.238583,5777527.42101278,10438
1532181600000,2018-07-21 14:00:00,BTCUSDT,7357.07,7391.6,7351.13,7353.09,1170.496157,8624942.74681835,736.553899,5428140.37414286,8114
1532178000000,2018-07-21 13:00:00,BTCUSDT,7337.0,7374.64,7337.0,7351.12,1590.930431,11709954.21928211,729.980838,5372778.95667651,7237
1532174400000,2018-07-21 12:00:00,BTCUSDT,7314.18,7357.13,7297.44,7337.05,1063.955885,7795760.10692718,659.599468,4833050.24725002,5585
1532170800000,2018-07-21 11:00:00,BTCUSDT,7300.96,7332.87,7293.0,7314.19,1085.118011,7926090.33033711,638.353575,4662678.1154923,4881
1532167200000,2018-07-21 10:00:00,BTCUSDT,7326.31,7331.0,7288.22,7301.24,1144.755564,8363856.04117102,576.256427,4210439.82645632,6745
1532163600000,2018-07-21 09:00:00,BTCUSDT,7316.12,7350.0,7310.0,7326.34,923.152278,6763803.38493221,554.077101,4059959.40427328,5547
1532160000000,2018-07-21 08:00:00,BTCUSDT,7324.0,7334.5,7302.94,7316.94,769.038052,5630106.02579716,468.667543,3431402.01914797,5766
1532156400000,2018-07-21 07:00:00,BTCUSDT,7340.24,7348.43,7319.54,7321.27,1094.087844,8023641.97926713,619.454467,4543140.07265287,5517
1532152800000,2018-07-21 06:00:00,BTCUSDT,7328.94,7359.63,7315.65,7340.0,990.388018,7267031.85239667,587.921482,4314499.1853376,7085
1532149200000,2018-07-21 05:00:00,BTCUSDT,7304.99,7330.0,7287.24,7328.99,1493.096816,10916428.88971068,893.496142,6532890.92907908,7684
1532145600000,2018-07-21 04:00:00,BTCUSDT,7280.01,7306.0,7255.93,7305.0,1124.10117,8181372.26479115,639.415042,4653995.85608902,5246
1532142000000,2018-07-21 03:00:00,BTCUSDT,7282.37,7295.44,7260.0,7280.02,1237.872979,9011154.49781939,739.190151,5381859.5572646,5444
1532138400000,2018-07-21 02:00:00,BTCUSDT,7269.22,7303.91,7260.19,7280.73,1324.804595,9651669.76067636,731.854842,5332354.60638271,7558
1532134800000,2018-07-21 01:00:00,BTCUSDT,7238.99,7273.1,7224.0,7269.23,1162.39105,8427570.97875825,612.641018,4441626.58294452,9295
1532131200000,2018-07-21 00:00:00,BTCUSDT,7337.47,7338.19,7211.0,7235.04,2924.515409,21275478.43597742,1400.218888,10194816.52861968,12566
1532127600000,2018-07-20 23:00:00,BTCUSDT,7351.65,7360.0,7305.55,7337.53,992.124366,7273927.73384051,632.184683,4635411.72036372,5475
1532124000000,2018-07-20 22:00:00,BTCUSDT,7300.99,7373.5,7280.0,7351.63,1536.565855,11239432.52390008,777.042445,5687677.01549713,9564
1532120400000,2018-07-20 21:00:00,BTCUSDT,7348.18,7370.14,7296.0,7298.0,1263.673843,9278963.12465002,666.722844,4897265.80248755,7787
1532116800000,2018-07-20 20:00:00,BTCUSDT,7353.37,7373.93,7325.68,7348.14,1258.785604,9252132.18396281,768.283729,5646601.62566842,6907
1532113200000,2018-07-20 19:00:00,BTCUSDT,7361.22,7387.31,7300.0,7350.05,2094.146534,15385283.54390614,1163.051947,8546895.42260868,10373
1532109600000,2018-07-20 18:00:00,BTCUSDT,7328.66,7390.0,7273.0,7361.0,2882.564062,21151704.5850591,1363.23094,10008929.72949533,12938
1532106000000,2018-07-20 17:00:00,BTCUSDT,7473.51,7500.0,7273.12,7328.66,5888.977316,43500635.33906857,2696.366393,19928337.38518434,27133
1532102400000,2018-07-20 16:00:00,BTCUSDT,7468.96,7700.0,7467.94,7473.51,5417.686591,41077378.06714969,2683.149675,20343503.61253163,26360
1532098800000,2018-07-20 15:00:00,BTCUSDT,7480.86,7521.07,7451.0,7467.93,1434.530153,10733029.31945444,731.454711,5475317.20303556,8276
1532095200000,2018-07-20 14:00:00,BTCUSDT,7482.07,7504.25,7436.4,7479.27,2104.819837,15741029.16881794,1086.900599,8128214.38202599,9985
1532091600000,2018-07-20 13:00:00,BTCUSDT,7466.59,7483.48,7447.37,7482.07,1123.578499,8392500.36410219,607.428972,4537156.32722757,6660
1532088000000,2018-07-20 12:00:00,BTCUSDT,7504.0,7517.99,7444.9,7462.33,1649.598981,12321388.32295446,912.842148,6817026.33141396,8640
1532084400000,2018-07-20 11:00:00,BTCUSDT,7467.89,7517.86,7461.31,7504.65,1466.343261,10975117.86541966,881.610244,6599860.46428931,7938
1532080800000,2018-07-20 10:00:00,BTCUSDT,7440.0,7473.98,7438.95,7467.99,1033.176613,7706221.37444241,635.897779,4743568.18400499,5766
