feature,coefficient,abs_coefficient
ntv_ratio_z_30,1.1348874722884148,1.1348874722884148
net_taker_volume,0.5423553003672827,0.5423553003672827
ntv_ratio_ma_30,0.536987518905553,0.536987518905553
ntv_sign,0.41679483009065316,0.41679483009065316
ntv_net_z_30,0.3974839009238507,0.3974839009238507
ntv_net_ma_3,-0.3296612222307368,0.3296612222307368
ntv_ratio_ma_7,-0.2858849454903692,0.2858849454903692
ntv_ratio,-0.1759276482800051,0.1759276482800051
ntv_ratio_abs,-0.1738273568709969,0.1738273568709969
ntv_abs,0.16437459984673944,0.16437459984673944
ntv_ratio_std_14,-0.16219605877477775,0.16219605877477775
ntv_ratio_ma_14,-0.15189819154948306,0.15189819154948306
ntv_ratio_std_30,0.13584078435702912,0.13584078435702912
ntv_ratio_std_3,-0.10250038864449883,0.10250038864449883
taker_sell_volume,-0.09232968276515963,0.09232968276515963
total_taker_volume,-0.06641831429347386,0.06641831429347386
ntv_ratio_std_7,0.05801024798114881,0.05801024798114881
taker_buy_volume,-0.040533585208218516,0.040533585208218516
ntv_net_ma_14,-0.040307574934150776,0.040307574934150776
ntv_net_ma_7,0.023186200664029346,0.023186200664029346
ntv_ratio_ma_3,0.012299849254386588,0.012299849254386588
ntv_net_ma_30,0.004369702762690651,0.004369702762690651
