feature,coefficient,abs_coefficient
ntv_ratio_z_30,1.2600020789910578,1.2600020789910578
btc_log_return,-0.8495182205457937,0.8495182205457937
net_taker_volume,0.8055324143807495,0.8055324143807495
btc_return,0.7794811508561916,0.7794811508561916
ntv_net_z_30,0.6614009902463324,0.6614009902463324
logret_lag_3,0.5634567972781316,0.5634567972781316
ret_lag_3,-0.49381192403818264,0.49381192403818264
ntv_ratio_ma_30,0.48891697855537136,0.48891697855537136
ret_lag_14,-0.4434322025785941,0.4434322025785941
ntv_net_ma_3,-0.42979882565715305,0.42979882565715305
ntv_sign,0.42449429491875823,0.42449429491875823
logret_lag_14,0.4015886160950222,0.4015886160950222
logret_lag_7,-0.3934483169797875,0.3934483169797875
ret_lag_7,0.36475020552127696,0.36475020552127696
logret_lag_1,0.29592883333682135,0.29592883333682135
logret_lag_5,-0.2756524250945823,0.2756524250945823
ntv_ratio_ma_14,-0.257000736748914,0.257000736748914
ret_ma_3,0.24601214014777706,0.24601214014777706
ret_lag_1,-0.2415990747554333,0.2415990747554333
ret_ma_7,0.24141657532845873,0.24141657532845873
ret_ma_30,0.2391027949907254,0.2391027949907254
ntv_ratio_ma_7,-0.23223645700026704,0.23223645700026704
volatility_30,-0.2250123721081782,0.2250123721081782
ret_lag_5,0.22098851435363884,0.22098851435363884
ntv_ratio_std_30,0.2020236331259566,0.2020236331259566
ret_ma_14,0.20089637263664264,0.20089637263664264
ntv_net_ma_7,-0.18604201831550504,0.18604201831550504
ntv_ratio_std_14,-0.18539739162483937,0.18539739162483937
ntv_ratio,-0.18120252102739537,0.18120252102739537
ret_lag_2,-0.17283470066640427,0.17283470066640427
ntv_ratio_abs,-0.15282498128379526,0.15282498128379526
ntv_abs,0.12574645426805256,0.12574645426805256
logret_lag_2,0.10774617644664321,0.10774617644664321
btc_volume_log,0.10454995566029116,0.10454995566029116
ntv_ratio_std_3,-0.10338022838326533,0.10338022838326533
ntv_ratio_std_7,0.09756763593264885,0.09756763593264885
ntv_net_ma_14,0.09531134922529308,0.09531134922529308
volatility_3,0.09449836693200821,0.09449836693200821
taker_sell_volume,-0.0784689969857825,0.0784689969857825
ntv_net_ma_30,0.06899509564108786,0.06899509564108786
btc_volume_z_30,0.05419412701049757,0.05419412701049757
total_taker_volume,-0.04011686779394882,0.04011686779394882
volatility_7,-0.039919415981842385,0.039919415981842385
btc_volume_change,-0.035966620481955563,0.035966620481955563
ntv_ratio_ma_3,0.022839933308904572,0.022839933308904572
volatility_14,0.019446743194559114,0.019446743194559114
intraday_range,0.012906761161671425,0.012906761161671425
taker_buy_volume,-0.0019335385035436318,0.0019335385035436318
