feature,importance
ntv_ratio_z_30,0.19990459033031222
net_taker_volume,0.16251298888396826
ntv_net_z_30,0.1621502499120681
ntv_ratio,0.15887806984082464
ntv_sign,0.11094887538178645
ntv_abs,0.02421251636213629
ntv_net_ma_3,0.022698616767664496
ntv_ratio_ma_3,0.02187582760252757
ntv_ratio_abs,0.02069592760443229
ntv_ratio_ma_7,0.014708551190065599
ntv_ratio_ma_30,0.013581251488938698
ntv_ratio_std_30,0.011816354628369427
ntv_ratio_ma_14,0.011359480596092281
ntv_net_ma_7,0.009788731490856233
taker_sell_volume,0.009280694751347317
total_taker_volume,0.008132604034191283
taker_buy_volume,0.0074686265414971266
ntv_net_ma_30,0.007169545636129674
ntv_ratio_std_14,0.006915038325380283
ntv_ratio_std_3,0.006397474692806543
ntv_net_ma_14,0.005708346752442512
ntv_ratio_std_7,0.003795637186162784
