date,target_up,next_return,pred_up,prob_up,stage,model_type,position,turnover,cost,strategy_return,buy_hold_return,strategy_equity,buy_hold_equity
2024-08-14,0,-0.020041310813293967,0,0.4930396481904175,M2_NTV_plus_BTC_market,logistic,0,0.0,0.0,-0.0,-0.020041310813293967,1.0,0.979958689186706
2024-08-15,1,0.023175912946963972,0,0.4109417289019714,M2_NTV_plus_BTC_market,logistic,-1,1.0,0.0005,-0.023675912946963973,0.023175912946963972,0.9763240870530361,1.002670126458918
2024-08-16,1,0.00993082725079053,0,0.4639027304839297,M2_NTV_plus_BTC_market,logistic,0,1.0,0.0005,-0.0005,0.00993082725079053,0.9758359250095097,1.0126274702743097
2024-08-17,0,-0.016728732324455264,1,0.5645041844008014,M2_NTV_plus_BTC_market,logistic,1,1.0,0.0005,-0.017228732324455265,-0.016728732324455264,0.9590235090649336,0.9956874963797004
2024-08-18,1,0.01726094125025579,1,0.6407178040313836,M2_NTV_plus_BTC_market,logistic,1,0.0,0.0,0.01726094125025579,0.01726094125025579,0.9755771575125176,1.0128739997583247
2024-08-19,0,-0.008079210921579816,0,0.46789213393898493,M2_NTV_plus_BTC_market,logistic,0,1.0,0.0005,-0.0005,-0.008079210921579816,0.9750893689337614,1.004690777077293
2024-08-20,1,0.03664287570061453,1,0.520300684756183,M2_NTV_plus_BTC_market,logistic,0,0.0,0.0,0.0,0.03664287570061453,0.9750893689337614,1.0415055363392902
2024-08-21,0,-0.012967304646127387,0,0.4850775792645474,M2_NTV_plus_BTC_market,logistic,0,0.0,0.0,-0.0,-0.012967304646127387,0.9750893689337614,1.0280000167589503
2024-08-22,1,0.061482671821355916,0,0.48400893696008945,M2_NTV_plus_BTC_market,logistic,0,0.0,0.0,0.0,0.061482671821355916,0.9750893689337614,1.0912042044216892
2024-08-23,1,0.0013205019089592707,0,0.3841882935878413,M2_NTV_plus_BTC_market,logistic,-1,1.0,0.0005,-0.0018205019089592707,0.0013205019089592707,0.9733142168762117,1.0926451416566925
2024-08-24,1,0.0024081210374646833,1,0.5706287639647087,M2_NTV_plus_BTC_market,logistic,1,2.0,0.001,0.0014081210374646833,0.0024081210374646833,0.9746847611010586,1.0952763634087994
2024-08-25,0,-0.022583597070127692,1,0.5278925063360086,M2_NTV_plus_BTC_market,logistic,0,1.0,0.0005,-0.0005,-0.022583597070127692,0.9741974187205081,1.0705410833371403
2024-08-26,0,-0.05369739018896724,1,0.567527673170546,M2_NTV_plus_BTC_market,logistic,1,1.0,0.0005,-0.05419739018896724,-0.05369739018896724,0.921398461097028,1.013055821071866
2024-08-27,0,-0.00800797843742207,1,0.590519932639635,M2_NTV_plus_BTC_market,logistic,1,0.0,0.0,-0.00800797843742207,-0.00800797843742207,0.9140199220882892,1.0049432919008177
2024-08-28,1,0.006108236397788236,0,0.4489869764948981,M2_NTV_plus_BTC_market,logistic,-1,2.0,0.001,-0.007108236397788236,0.006108236397788236,0.9075228524097977,1.0110817230941194
2024-08-29,0,-0.004524521990973862,0,0.44909468583368706,M2_NTV_plus_BTC_market,logistic,-1,0.0,0.0,0.004524521990973862,-0.004524521990973862,0.9116289595128373,1.0065070616033083
2024-08-30,0,-0.002530098940268344,0,0.39938336294251997,M2_NTV_plus_BTC_market,logistic,-1,0.0,0.0,0.002530098940268344,-0.002530098940268344,0.9139354709772186,1.003960499153373
2024-08-31,0,-0.027885585694078285,1,0.5169953515702075,M2_NTV_plus_BTC_market,logistic,0,1.0,0.0005,-0.0005,-0.027885585694078285,0.9134785032417301,0.975964472620762
2024-09-01,1,0.031172733823612075,1,0.6568306938920291,M2_NTV_plus_BTC_market,logistic,1,1.0,0.0005,0.030672733823612075,0.031172733823612075,0.9414973862252553,1.006387953347071
2024-09-02,0,-0.02844504270361159,1,0.5658679738704789,M2_NTV_plus_BTC_market,logistic,1,0.0,0.0,-0.02844504270361159,-0.02844504270361159,0.9147164528687391,0.9777612050377132
2024-09-03,1,0.00941156177702851,1,0.6607758897528461,M2_NTV_plus_BTC_market,logistic,1,0.0,0.0,0.00941156177702851,0.00941156177702851,0.9233253632733777,0.9869634650221075
2024-09-04,0,-0.031240343288065575,0,0.4830682128136107,M2_NTV_plus_BTC_market,logistic,0,1.0,0.0005,-0.0005,-0.031240343288065575,0.922863700591741,0.9561303875620382
2024-09-05,0,-0.03938239218868078,1,0.5116474325403546,M2_NTV_plus_BTC_market,logistic,0,0.0,0.0,-0.0,-0.03938239218868078,0.922863700591741,0.9184756856555546
2024-09-06,1,0.003539165966313096,0,0.4600280981426469,M2_NTV_plus_BTC_market,logistic,0,0.0,0.0,0.0,0.003539165966313096,0.922863700591741,0.9217263235431128
2024-09-07,1,0.012964221602682846,1,0.5126716087312889,M2_NTV_plus_BTC_market,logistic,0,0.0,0.0,0.0,0.012964221602682846,0.922863700591741,0.9336757878585519
2024-09-08,1,0.039713831911113884,0,0.422999138200651,M2_NTV_plus_BTC_market,logistic,-1,1.0,0.0005,-0.040213831911113884,0.039713831911113884,0.8857518148592763,0.9707556311570432
2024-09-09,1,0.011034389872275785,0,0.44946113700259277,M2_NTV_plus_BTC_market,logistic,-1,0.0,0.0,-0.011034389872275785,0.011034389872275785,0.8759780840040432,0.9814673272619372
2024-09-10,0,-0.005300015516934153,0,0.4984819469492787,M2_NTV_plus_BTC_market,logistic,0,1.0,0.0005,-0.0005,-0.005300015516934153,0.8755400949620412,0.976265535198085
2024-09-11,1,0.013669279499548104,0,0.4907433324891067,M2_NTV_plus_BTC_market,logistic,0,0.0,0.0,0.0,0.013669279499548104,0.8755400949620412,0.9896103816644836
2024-09-12,1,0.04205082955798245,0,0.49213367545340014,M2_NTV_plus_BTC_market,logistic,0,0.0,0.0,0.0,0.04205082955798245,0.8755400949620412,1.0312243191526667
2024-09-13,0,-0.00934732588201681,0,0.4320732622796167,M2_NTV_plus_BTC_market,logistic,-1,1.0,0.0005,0.00884732588201681,-0.00934732588201681,0.8832862835049423,1.0215851293840859
2024-09-14,0,-0.013703582981947293,1,0.5756482709287485,M2_NTV_plus_BTC_market,logistic,1,2.0,0.001,-0.014703582981947294,-0.013703582981947293,0.8702988103386116,1.0075857527904477
2024-09-15,0,-0.016733367188517922,1,0.5248719987686858,M2_NTV_plus_BTC_market,logistic,0,1.0,0.0005,-0.0005,-0.016733367188517922,0.8698636609334423,0.9907254504150859
2024-09-16,1,0.0363626062794542,0,0.40897650529997104,M2_NTV_plus_BTC_market,logistic,-1,1.0,0.0005,-0.0368626062794542,0.0363626062794542,0.8377982192836482,1.0267508098995646
2024-09-17,1,0.02223798894564699,0,0.4366278582701709,M2_NTV_plus_BTC_market,logistic,-1,0.0,0.0,-0.02223798894564699,0.02223798894564699,0.8191672717445356,1.0495836830600451
2024-09-18,1,0.020937291974474137,0,0.423312592589822,M2_NTV_plus_BTC_market,logistic,-1,0.0,0.0,-0.020937291974474137,0.020937291974474137,0.8020161274000869,1.0715591230839172
2024-09-19,1,0.004012038411551844,0,0.4311010469790093,M2_NTV_plus_BTC_market,logistic,-1,0.0,0.0,-0.004012038411551844,0.004012038411551844,0.7987984078902737,1.0758582594459787
2024-09-20,1,0.003194394254405042,0,0.38940488576266674,M2_NTV_plus_BTC_market,logistic,-1,0.0,0.0,-0.003194394254405042,0.003194394254405042,0.7962467308456811,1.0792949748885072
2024-09-21,1,0.004004601863112578,1,0.5159907201903631,M2_NTV_plus_BTC_market,logistic,0,1.0,0.0005,-0.0005,0.004004601863112578,0.7958486074802583,1.0836171215557937
2024-09-22,0,-0.005010473135318549,1,0.5434429507395775,M2_NTV_plus_BTC_market,logistic,0,0.0,0.0,-0.0,-0.005010473135318549,0.7958486074802583,1.0781876870792673
2024-09-23,1,0.01535087678718594,1,0.5110757688849515,M2_NTV_plus_BTC_market,logistic,0,0.0,0.0,0.0,0.01535087678718594,0.7958486074802583,1.0947388134170821
2024-09-24,0,-0.018021597802944433,0,0.4065804015893115,M2_NTV_plus_BTC_market,logistic,-1,1.0,0.0005,0.017521597802944433,-0.018021597802944433,0.8097931466925608,1.0750098708224067
