feature,coefficient,abs_coefficient
ntv_ratio_std_7,-0.30621439471341627,0.30621439471341627
ntv_ratio,0.24342033871619473,0.24342033871619473
ntv_ratio_z_30,-0.2287197348556596,0.2287197348556596
ntv_net_ma_30,-0.17057022237328495,0.17057022237328495
ntv_ratio_ma_7,-0.1437249688859148,0.1437249688859148
ntv_ratio_ma_3,0.13454314460112812,0.13454314460112812
ntv_ratio_abs,0.13411518868776634,0.13411518868776634
ntv_ratio_std_3,0.10571884286136174,0.10571884286136174
ntv_ratio_ma_14,0.10429278873745397,0.10429278873745397
ntv_ratio_ma_30,0.07219868462908878,0.07219868462908878
ntv_net_ma_3,0.06641126848241224,0.06641126848241224
ntv_net_ma_7,-0.051925499595492725,0.051925499595492725
net_taker_volume,0.042049134566932864,0.042049134566932864
ntv_ratio_std_14,0.036725109295346496,0.036725109295346496
ntv_abs,0.03607869302162211,0.03607869302162211
ntv_ratio_std_30,0.03602095590952255,0.03602095590952255
ntv_sign,-0.020009275521932244,0.020009275521932244
ntv_net_ma_14,-0.019903868789717213,0.019903868789717213
ntv_net_z_30,-0.013215392601145745,0.013215392601145745
