candidate_id,rule_text,feature_family,n_conditions,horizon,side,fires_train,episodes_train,gross_train,net_train,p_iid,p_block_train,p_episode_train,p_maxstat,q_fdr,effect_size,audit_hash,train_status,net_train_ci_lo,val_episodes,val_gross,val_net,val_p_block,val_p_episode,test_net,test_p_block,test_episodes,status,shadow_eligible,reason
btc_fundlo10_24h_long_v1,funding__rate__asof<=-1.428e-05,fund,1,24h,long,4210,250,0.007494707472494062,0.005495,0.00033,0.00133,0.00593,0.88704,0.01096,0.007495,845c050d7c01,INFORMATION_PASS,0.001537,73.0,0.005234853089005848,0.003235,0.08098,0.10095,-0.0002,0.04239,73.0,VAL_FAIL,False,val net 32bps p 0.08098/0.10095
btc_fundhi10_24h_long_v1,funding__rate__asof>=0.00035489,fund,1,24h,long,4215,133,0.0004239846696559904,-0.001576,0.98734,0.75242,0.68119,1.0,0.8566,0.000424,015e7fc5633e,,,,,,,,,,,MCPT_FAIL,False,p_block 0.75242 p_epis 0.68119 q_fdr 0.8566
btc_fundlo20_24h_long_v1,funding__rate__asof<=2.68e-05,fund,1,24h,long,8423,414,0.005291785810364478,0.003292,0.00033,0.00467,0.01341,0.99434,0.02466,0.005292,2ce3dcc9b2ad,INFORMATION_PASS,0.000801,141.0,0.0028192799153818316,0.000819,0.20656,0.26657,-0.000956,0.006,145.0,VAL_FAIL,False,val net 8bps p 0.20656/0.26657
btc_fundhi20_24h_long_v1,funding__rate__asof>=0.0001,fund,1,24h,long,26184,313,0.0004259657238657202,-0.001574,1.0,0.97634,0.90559,1.0,0.97634,0.000426,d39ce7c64b65,,,,,,,,,,,MCPT_FAIL,False,p_block 0.97634 p_epis 0.90559 q_fdr 0.97634
btc_ret24lo10_24h_long_v1,klines__ret__24h<=-0.0379572,ret24,1,24h,long,5971,917,0.004930515260023447,0.002931,0.00033,0.01066,0.0331,0.998,0.04932,0.004931,f4b574522748,INFORMATION_PASS,-0.000988,,,,,,,,,COST_FAIL,False,net 29bps / CI_lo -10bps
btc_ret24hi10_24h_long_v1,klines__ret__24h>=0.042982,ret24,1,24h,long,5971,958,0.0019893333092111877,-1.1e-05,0.30923,0.43219,0.44173,1.0,0.63242,0.001989,a1b006981c43,,,,,,,,,,,MCPT_FAIL,False,p_block 0.43219 p_epis 0.44173 q_fdr 0.63242
btc_ret24lo20_24h_long_v1,klines__ret__24h<=-0.0197504,ret24,1,24h,long,11941,1646,0.0031018707286324435,0.001102,0.00033,0.07431,0.12173,1.0,0.17738,0.003102,e78ae16cc89c,,,,,,,,,,,MCPT_FAIL,False,p_block 0.07431 p_epis 0.12173 q_fdr 0.17738
btc_ret24hi20_24h_long_v1,klines__ret__24h>=0.0237312,ret24,1,24h,long,11941,1603,0.0018297096680177543,-0.00017,0.42852,0.46518,0.46738,1.0,0.64949,0.00183,52205585d688,,,,,,,,,,,MCPT_FAIL,False,p_block 0.46518 p_epis 0.46738 q_fdr 0.64949
btc_ret1lo10_24h_long_v1,klines__ret__1h<=-0.0066951,ret1,1,24h,long,5973,4860,0.0030154376794408167,0.001015,0.006,0.03565,0.11088,1.0,0.12105,0.003015,6a259686cf57,,,,,,,,,,,MCPT_FAIL,False,p_block 0.03565 p_epis 0.11088 q_fdr 0.12105
btc_ret1hi10_24h_long_v1,klines__ret__1h>=0.00692051,ret1,1,24h,long,5973,4893,0.0034771554424577254,0.001477,0.00033,0.009,0.05379,1.0,0.04439,0.003477,9a0fc203f24f,,,,,,,,,,,MCPT_FAIL,False,p_block 0.009 p_epis 0.05379 q_fdr 0.04439
btc_ret1lo20_24h_long_v1,klines__ret__1h<=-0.00345266,ret1,1,24h,long,11946,9044,0.0025060896080947585,0.000506,0.00666,0.04665,0.12478,1.0,0.13809,0.002506,f168db0b50f1,,,,,,,,,,,MCPT_FAIL,False,p_block 0.04665 p_epis 0.12478 q_fdr 0.13809
btc_ret1hi20_24h_long_v1,klines__ret__1h>=0.00370223,ret1,1,24h,long,11946,9067,0.003026018372651936,0.001026,0.00033,0.003,0.01969,1.0,0.01849,0.003026,b51ac2c78f85,INFORMATION_PASS,-0.000919,,,,,,,,,COST_FAIL,False,net 10bps / CI_lo -9bps
btc_rvollo10_24h_long_v1,klines__rvol__24h<=0.00235633,rvol,1,24h,long,5971,329,0.0007189047983084908,-0.001281,0.989,0.74175,0.67984,1.0,0.8566,0.000719,f8c060586666,,,,,,,,,,,MCPT_FAIL,False,p_block 0.74175 p_epis 0.67984 q_fdr 0.8566
btc_rvolhi10_24h_long_v1,klines__rvol__24h>=0.0122284,rvol,1,24h,long,5971,261,0.004564312723128456,0.002564,0.00033,0.04465,0.11311,0.99933,0.13768,0.004564,79dc72d3f268,,,,,,,,,,,MCPT_FAIL,False,p_block 0.04465 p_epis 0.11311 q_fdr 0.13768
btc_rvollo20_24h_long_v1,klines__rvol__24h<=0.0031768,rvol,1,24h,long,11941,535,0.0005496715893894985,-0.00145,1.0,0.87504,0.76809,1.0,0.92973,0.00055,1c54e85798e5,,,,,,,,,,,MCPT_FAIL,False,p_block 0.87504 p_epis 0.76809 q_fdr 0.92973
btc_rvolhi20_24h_long_v1,klines__rvol__24h>=0.00903624,rvol,1,24h,long,11941,415,0.0026477207584791906,0.000648,0.00367,0.2056,0.29773,1.0,0.39011,0.002648,69316e21167f,,,,,,,,,,,MCPT_FAIL,False,p_block 0.2056 p_epis 0.29773 q_fdr 0.39011
btc_tkbuylo10_24h_long_v1,klines__takerbuyfrac__1h<=0.433034,tkbuy,1,24h,long,5973,4422,0.00047905434357944064,-0.001521,0.99434,0.95168,0.89461,1.0,0.97553,0.000479,f297536f9f0a,,,,,,,,,,,MCPT_FAIL,False,p_block 0.95168 p_epis 0.89461 q_fdr 0.97553
btc_tkbuyhi10_24h_long_v1,klines__takerbuyfrac__1h>=0.567401,tkbuy,1,24h,long,5973,4360,0.0026541040065126403,0.000654,0.03199,0.13629,0.18527,1.0,0.27258,0.002654,44a8515cc6b5,,,,,,,,,,,MCPT_FAIL,False,p_block 0.13629 p_epis 0.18527 q_fdr 0.27258
btc_tkbuylo20_24h_long_v1,klines__takerbuyfrac__1h<=0.458465,tkbuy,1,24h,long,11945,7796,0.0015194679277270823,-0.000481,0.78007,0.68777,0.64243,1.0,0.82089,0.001519,82d5e1703fe1,,,,,,,,,,,MCPT_FAIL,False,p_block 0.68777 p_epis 0.64243 q_fdr 0.82089
btc_tkbuyhi20_24h_long_v1,klines__takerbuyfrac__1h>=0.539338,tkbuy,1,24h,long,11945,7498,0.0025505642323901214,0.000551,0.00633,0.08364,0.11576,1.0,0.18204,0.002551,d7ee148f5f39,,,,,,,,,,,MCPT_FAIL,False,p_block 0.08364 p_epis 0.11576 q_fdr 0.18204
