candidate_id,horizon_h,rule_text,family,side,feature_family,n_conditions,fires_train,episodes_train,indep_windows,low_power,ctx_drop1h_pct,ctx_rvol,ctx_funding,fwd_rvol,mfe_pct,mae_pct,gross_train,net_train,p_block_train,p_episode_train,p_maxstat,q_fdr,effect_size,status,shadow_eligible,train_status,net_train_ci_lo,val_episodes,val_net,val_p_block,val_p_episode,test_net,test_p_block,test_episodes,run_id,audit_hash
btc_mean_reversion_ret1lo10_1h_long_v2,1,klines__ret__1h<=-0.00669654,mean_reversion,long,ret1,1,5959,4847,59710,False,-1.44,0.01054,0.000176,,0.079,0.079,0.0007919232647088439,-0.001208,0.0005,3e-05,0.08196,0.00162,0.000792,EFFECT_FAIL,False,,,,,,,,,,c7e3b83a3f4f,d4b02b3f3928aa41
btc_mean_reversion_ret24lo10_1h_long_v2,1,klines__ret__24h<=-0.0379468,mean_reversion,long,ret24,1,5956,916,59710,False,-0.301,0.01225,9.9e-05,,0.022,0.022,0.00021724183601410334,-0.001783,0.07946,0.08202,0.96852,0.14757,0.000217,MCPT_FAIL,False,,,,,,,,,,c7e3b83a3f4f,55703741cc9d9cf2
btc_mean_reversion_ret1lo10__ntaklo10_1h_long_v2,1,klines__ret__1h<=-0.00669654 AND nettaker__net__1d<=-12941.8,mean_reversion,long,ntak+ret1,2,453,363,59710,False,-1.543,0.01134,0.00013,,0.137,0.137,0.001365103998233996,-0.000635,0.001,0.00091,0.001,0.00289,0.001365,EFFECT_FAIL,False,,,,,,,,,,c7e3b83a3f4f,44f268347ad28278
btc_mean_reversion_ret1lo10__fundlo10_1h_long_v2,1,klines__ret__1h<=-0.00669654 AND funding__rate__asof<=-1.4552e-05,mean_reversion,long,fund+ret1,2,444,368,59710,False,-1.484,0.01257,-0.000168,,0.172,0.172,0.0017167606786036027,-0.000283,0.0005,0.00015,0.0005,0.00162,0.001717,EFFECT_FAIL,False,,,,,,,,,,c7e3b83a3f4f,8d3881c014cc9a3b
btc_mean_reversion_ret24lo10__ret1lo10_1h_long_v2,1,klines__ret__24h<=-0.0379468 AND klines__ret__1h<=-0.00669654,mean_reversion,long,ret1+ret24,2,1761,1325,59710,False,-1.892,0.01356,0.000115,,0.15,0.15,0.0014983907478705253,-0.000502,0.0005,3e-05,0.0005,0.00162,0.001498,EFFECT_FAIL,False,,,,,,,,,,c7e3b83a3f4f,e6196ef2154c7ff6
btc_mean_reversion_ret1lo10__rvolhi10_1h_long_v2,1,klines__ret__1h<=-0.00669654 AND klines__rvol__24h>=0.012235,mean_reversion,long,ret1+rvol,2,1668,1234,59710,False,-2.015,0.01884,0.000179,,0.186,0.186,0.0018644221290167876,-0.000136,0.0005,3e-05,0.0005,0.00162,0.001864,EFFECT_FAIL,False,,,,,,,,,,c7e3b83a3f4f,173fd00d701f5f2d
btc_mean_reversion_ret1lo10__tkbuylo10_1h_long_v2,1,klines__ret__1h<=-0.00669654 AND klines__takerbuyfrac__1h<=0.433088,mean_reversion,long,ret1+tkbuy,2,1406,1308,59710,False,-1.715,0.00983,0.000184,,0.062,0.062,0.0006188164965860621,-0.001381,0.0055,0.00801,0.22089,0.01191,0.000619,EFFECT_FAIL,False,,,,,,,,,,c7e3b83a3f4f,008b004757d30d3d
btc_momentum_up_ret6hi10_1h_long_v2,1,ret6>=0.0188872,momentum_up,long,ret6,1,5958,1942,59710,False,0.58,0.01082,0.000147,,-0.005,-0.005,-5.409965521987288e-05,-0.002054,0.90805,0.90269,1.0,0.9995,5.4e-05,MCPT_FAIL,False,,,,,,,,,,c7e3b83a3f4f,26b7619e9f7ae55d
btc_momentum_up_ret12hi10_1h_long_v2,1,ret12>=0.0282449,momentum_up,long,ret12,1,5958,1315,59710,False,0.41,0.01082,0.000186,,0.013,0.013,0.00012795895594159157,-0.001872,0.30335,0.30555,0.9965,0.46394,0.000128,MCPT_FAIL,False,,,,,,,,,,c7e3b83a3f4f,940b11ceb20ee0f2
btc_momentum_up_ret24hi10_1h_long_v2,1,klines__ret__24h>=0.043055,momentum_up,long,ret24,1,5956,958,59710,False,0.298,0.01074,0.000242,,0.02,0.02,0.00020415111850235123,-0.001796,0.10595,0.10143,0.97801,0.18364,0.000204,MCPT_FAIL,False,,,,,,,,,,c7e3b83a3f4f,8c99c5cb3a62499e
