timestamp,sum_oi,sum_oi_value
1780203600000,104702.22600000,7764036515.69100000
1780207200000,104734.93300000,7753307146.63070000
1780210800000,104840.54100000,7760710296.59850100
1780214400000,104944.36300000,7748378142.25160000
1780218000000,105114.56500000,7769364377.21450000
1780221600000,105134.68300000,7760474571.77180000
1780225200000,105183.70400000,7770067471.66560000
1780228800000,105202.51800000,7776301874.04917700
1780232400000,105198.10200000,7773319192.60440000
1780236000000,105241.32400000,7771291700.48920800
1780239600000,104749.59300000,7706448506.92860000
1780243200000,104873.06600000,7720073443.99100000
1780246800000,105014.95700000,7718599339.50000000
1780250400000,104954.21100000,7731430962.47280000
1780254000000,104905.28900000,7718270261.29930000
1780257600000,104809.90400000,7706178878.87711900
1780261200000,104980.38300000,7738198513.27470000
1780264800000,105003.46800000,7756193163.71422400
1780268400000,104961.42600000,7758601663.92360000
1780272000000,105050.10200000,7737315532.15886200
1780275600000,104993.88300000,7754323228.96500000
1780279200000,104834.09700000,7679915311.20660000
1780282800000,104894.24500000,7737712792.06600000
1780286400000,105168.24500000,7754553493.97351000
1780290000000,104969.23600000,7714976422.91000000
1780293600000,105090.15300000,7704884238.48570000
1780297200000,105025.25300000,7678028658.44450000
1780300800000,105445.95400000,7674494505.09393100
1780304400000,105265.92700000,7671328116.27390000
1780308000000,105771.13900000,7705565742.78910200
1780311600000,106408.76300000,7738321908.14380000
1780315200000,106416.09000000,7709643529.92900000
1780318800000,106484.63300000,7688190502.60000000
1780322400000,105703.43900000,7580563415.49500400
1780326000000,106013.54300000,7584198264.86570000
1780329600000,105692.28700000,7515122455.95241200
1780333200000,106092.02000000,7589611228.97160600
1780336800000,105870.23400000,7583834259.27650800
1780340400000,105168.20100000,7516371325.47000000
1780344000000,105069.58700000,7520219680.75130000
1780347600000,104920.15500000,7493376486.06900000
1780351200000,105069.47800000,7460773493.82400000
1780354800000,105024.23500000,7496272811.90100000
1780358400000,105358.55900000,7521284130.61250000
1780362000000,105694.31900000,7532464185.01350000
1780365600000,106139.46900000,7494116882.13329900
1780369200000,105748.90700000,7487794582.62110000
1780372800000,105717.01800000,7498443806.19648000
1780376400000,105666.83000000,7479351827.79200000
1780380000000,105580.12700000,7415420219.84500000
1780383600000,105731.09600000,7409428771.54569700
1780387200000,105194.60800000,7371975011.87520000
1780390800000,105651.59600000,7373255842.28640000
1780394400000,106141.06800000,7365562104.80512800
1780398000000,106179.84200000,7393231585.73878500
1780401600000,106163.96400000,7372374485.71239500
1780405200000,107372.79900000,7409231489.07269800
1780408800000,109909.88300000,7559959276.84644700
1780412400000,109555.66800000,7449500579.26320000
1780416000000,109565.21200000,7371700516.43337300
1780419600000,110444.60700000,7443312586.17114300
1780423200000,110657.33900000,7465562598.51357800
1780426800000,110622.19600000,7446888738.02734850
1780430400000,108581.27400000,7305054945.28020000
1780434000000,107667.25100000,7273598623.02178300
1780437600000,107297.61400000,7246043928.17080000
1780441200000,106962.00000000,7096575725.40000000
1780444800000,107552.94600000,7177092405.75146300
1780448400000,106471.89400000,7122991002.97880000
1780452000000,108266.33900000,7242676938.14201100
1780455600000,108434.72100000,7221252587.18233100
1780459200000,108317.82200000,7129233445.15276200
1780462800000,109465.77200000,7272796425.90800000
1780466400000,106912.51200000,7195258246.12946200
1780470000000,106346.79400000,7119843415.54420000
1780473600000,105776.78500000,7107301595.12999300
1780477200000,104402.00500000,6993871846.38669900
1780480800000,108022.17900000,7241904100.12110000
1780484400000,107739.31500000,7246546326.90000000
1780488000000,107594.40200000,7213498165.86652100
1780491600000,108286.82400000,7260718178.65920000
1780495200000,108904.61000000,7283864284.33997700
1780498800000,108976.17100000,7284076245.81100000
1780502400000,107240.04800000,7082605173.98843300
1780506000000,105588.67600000,6972801632.48240000
1780509600000,105378.62600000,6948049953.26569700
1780513200000,105243.59400000,6947191152.53269800
1780516800000,105142.44100000,6879722256.48840000
1780520400000,104017.82300000,6758481935.51369400
1780524000000,104339.79100000,6857482347.97660000
1780527600000,104294.82100000,6766960870.94300000
1780531200000,104752.19600000,6716459402.24960000
1780534800000,103677.45200000,6564125112.22252300
1780538400000,103279.27500000,6417660541.29750000
1780542000000,101614.44300000,6420457773.73350000
1780545600000,100747.61600000,6481909844.05340400
1780549200000,100633.58900000,6477763997.21220000
1780552800000,100783.29900000,6442976793.97773200
1780556400000,100534.53900000,6433793593.10836200
1780560000000,101749.65500000,6468378192.83250000
1780563600000,101421.40000000,6449964927.98000000
1780567200000,102564.05100000,6486130072.42980000
1780570800000,103008.65500000,6427667627.05744650
1780574400000,103818.75800000,6490354238.87960000
1780578000000,101580.70800000,6474571482.64560000
1780581600000,101106.26200000,6490101953.41580000
1780585200000,101087.98700000,6462244824.81719600
1780588800000,100830.59600000,6440064339.49241700
1780592400000,100639.33600000,6394391938.96720000
1780596000000,99821.84700000,6339912725.62955800
1780599600000,102319.17400000,6528554805.37866100
1780603200000,101563.02200000,6460030970.40403900
1780606800000,99507.87000000,6329048809.54500000
1780610400000,99584.35900000,6299277943.43941500
1780614000000,99355.46500000,6331746569.75245700
1780617600000,98688.41700000,6301849095.46169900
1780621200000,98163.57800000,6223732727.61050300
1780624800000,97950.05400000,6205128883.03483900
1780628400000,99149.26000000,6204929885.42001200
1780632000000,100068.09300000,6274259424.29070000
1780635600000,99679.63800000,6338250727.10630700
1780639200000,98738.95400000,6151940402.86540000
1780642800000,100107.30500000,6198333992.95450000
1780646400000,98255.88600000,6197627567.69040000
1780650000000,98270.20300000,6134792578.84340000
1780653600000,98102.03700000,6164042778.55536500
1780657200000,97985.61600000,6125511992.87040000
1780660800000,97883.68100000,6063639540.37940000
1780664400000,97822.36600000,6058549980.31720000
1780668000000,98886.60700000,6004545522.50704800
1780671600000,100570.35000000,6118207709.58286300
